"Entry","Name","Origin","Region","Cluster","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","SeedMass1000.2018","SeedMass1000.2017","SeedMass1000.2016"
1,"CDC Asterix AGL","Canada","Americas","8",5.04107057167904,5.98509616647124,1.48583203074508,3.12454593579096,2.35688099193315,-0.184171722677738,2.42008464551775,-0.579834963877504,-0.213145689759588,29.5890410958904,23,25.5
2,"CDC Rosie AGL","Canada","Americas","8",6.53156291728902,3.72748016791927,1.30516164968018,0.406357156291457,1.41024387109329,-2.17769206785598,-0.864612971704434,-0.294497046596273,-1.3322081975912,34.4420131291028,25.9,26.1
3,"3156-11 AGL","Canada","Americas","8",9.09665096435013,2.92214694525457,3.10680485735722,-2.28499025830254,-0.21361333661664,0.0175996940074433,0.123521608975569,-0.43367305202063,0.827350072683307,45.5729166666667,33.4,31.6
4,"CDC Greenstar AGL","Canada","Americas","7",6.05652118359996,0.0330604851994887,0.833723453972333,-0.312118821318102,-2.03683312575492,-0.703354918271668,-1.09784731119872,0.387049393433649,0.173763506400381,71.6857142857143,64.3,54.6
5,"CDC Cherie AGL","Canada","Americas","7",4.87517405822258,1.1814976481178,0.72838260935039,0.436753859821513,-2.79018336996301,-0.863974786371661,0.489367653297727,-0.449959278894877,-0.883414392110956,44.5675675675676,34.9,39
6,"CDC Glamis AGL","Canada","Americas","7",5.96022406519031,1.19356729777761,2.68592965070731,-4.68263105924225,-2.58066059656192,0.559828585526128,-0.451489397664286,-0.514114232827633,0.345099480963799,68.0357142857143,53.9,54.7
7,"CDC Gold AGL","Canada","Americas","7",5.45460597097549,-0.471497679482481,-0.746595860256798,0.0142791412479459,-2.73648488016244,-0.311747533184639,-1.425179541153,-1.43761621436971,-0.763357146471478,52.9856850715746,53.7,54.9
8,"CDC Imax AGL","Canada","Americas","7",3.74491263047888,-0.667897507416144,-0.0438449186573702,0.463861475829075,-2.17990997020514,-0.0424999662001142,-0.385630776480559,0.193502372841135,-0.138906572154301,50.6131386861314,38.8,36.1
9,"CDC Impower AGL","Canada","Americas","7",8.17462109052849,0.12906327720596,1.21287937369039,-0.0554941232729601,-2.46838751415699,-0.391733610957909,-1.02998074824465,-0.743803400585556,0.917895433293537,70.4901960784314,59.4,47.8
10,"CDC KR-1 AGL","Canada","Americas","7",2.49077194064506,1.10188898986216,1.12224604232221,-0.61455920066404,-1.29214859921728,-0.466983976462795,-2.58950174144411,1.07250593117962,-1.70367418838711,59.6989966555184,35.9,42.5
