plot_name,trial_name,sensor_type,mission_date,field_name,crop_area_fraction_excess-green-based,crop_area_m2_excess-green-based,crop_volume_m3_excess-green-based,foreground,foreground_pre_dsm,ground_dilation_pix_excess-green-based,max_crop_height_m_excess-green-based,mean_blue,mean_blue_segmented,mean_crop_height_m_excess-green-based,mean_excess_green,mean_excess_green_segmented,mean_green,mean_green_segmented,mean_luminance,mean_luminance_segmented,mean_ndyi,mean_ndyi_segmented,mean_ngrdi,mean_ngrdi_segmented,mean_red,mean_red_segmented,median_crop_height_m_excess-green-based,median_ground_elevation_m_excess-green-based,sd_crop_height_m_excess-green-based,std_blue,std_blue_segmented,std_excess_green,std_excess_green_segmented,std_green,std_green_segmented,std_luminance,std_luminance_segmented,std_ndyi,std_ndyi_segmented,std_ngrdi,std_ngrdi_segmented,std_red,std_red_segmented
1,AGILE_LDP_Italy,FC550,2018-03-27,Italy,0.11408323328083826,0.3492333393000736,0.04293857301273194,0.9064094410289025,0.9064094410289025,50,0.4533882141113281,31529.048266882884,21872.181917583544,0.1229509562253952,0.009513873606920242,0.12717856466770172,36246.190985919886,36024.113783913075,0.5451295971870422,0.445523202419281,0.07979410141706467,0.273347407579422,-0.044612277299165726,0.03698647767305374,39716.35023310932,33506.75152053578,0.11549758911132812,-58.73420715332031,0.03933085501194,7245.55176128,7991.0719899483165,0.05250784382224083,0.03794966638088226,5216.482378949041,5376.7955130134615,0.09384629875421524,0.09160652756690979,0.1055874302983284,0.16675157845020294,0.04208384454250336,0.054556071758270264,6178.615661391628,5343.946846678489
10,AGILE_LDP_Italy,FC550,2018-03-27,Italy,0.07574564310499435,0.23187371503303228,0.030632532356897193,0.9091199092616878,0.9091199092616878,50,0.2332305908203125,30365.225100393778,24361.882437718756,0.1321086883544922,0.024418925866484642,0.11035926640033722,35661.50888533666,36960.39736462837,0.5213623046875,0.47225257754325867,0.08530306071043015,0.22897887229919434,-0.02898736111819744,0.025715846568346024,37757.2040469414,35094.12291537986,0.13207626342773438,-58.84322738647461,0.025718750432133675,5785.134749322764,8190.88648781207,0.034823227673769,0.02903805300593376,4971.339128643582,6081.595811122211,0.07725918292999268,0.10045597702264786,0.07385171949863434,0.1373344361782074,0.030500302091240883,0.0468938834965229,5036.630848989293,5854.822033642772
100,AGILE_LDP_Italy,FC550,2018-03-27,Italy,0.30813309840487735,0.943263296167903,0.12240340866754958,0.9064094410289025,0.9064094410289025,50,0.18658447265625,27720.035013175744,21973.59623510361,0.12976589798927307,0.05997491255402565,0.15831153094768524,35340.02066798684,36354.74394656276,0.49422284960746765,0.444563627243042,0.13550762832164764,0.2725651264190674,0.0072143045254051685,0.09958026558160782,35099.09495111721,29986.000025301724,0.12931060791015625,-59.170597076416016,0.025584887713193893,7806.126456113835,7910.9933721415,0.07457241415977478,0.04914647713303566,6006.472228237302,6046.507154075199,0.09889106452465057,0.09732916206121445,0.1382344663143158,0.16331450641155243,0.07671359181404114,0.06868136674165726,7176.183439563999,6106.791623468882
101,AGILE_LDP_Italy,FC550,2018-03-27,Italy,0.3059857615687254,0.9366898202857724,0.12380410031186544,0.9081203700421792,0.9081203700421792,50,0.4079132080078125,27734.004785174544,22278.974947701412,0.13217192888259888,0.058702513575553894,0.15435342490673065,35289.77057703116,36542.51023011378,0.49390581250190735,0.44899725914001465,0.13412249088287354,0.26816225051879883,0.005162262823432684,0.09249179065227509,35151.39760663211,30574.94175723251,0.13207244873046875,-59.152320861816406,0.03016745112836361,7864.241312331553,7954.821248658068,0.07274855673313141,0.048250630497932434,6211.1195187824815,6168.697711033476,0.10064945369958878,0.09915219992399216,0.1355835199356079,0.159327894449234,0.0740697830915451,0.069100521504879,7190.254298941418,6277.583892593406
102,AGILE_LDP_Italy,FC550,2018-03-27,Italy,0.36413382876412914,1.1146938720240824,0.1882976881855356,0.9081203700421792,0.9081203700421792,50,0.3325767517089844,26398.30529881971,22058.08954487963,0.16892322897911072,0.0726197138428688,0.17204825580120087,34925.047078935866,37569.51012926876,0.4797880947589874,0.45450353622436523,0.152982696890831,0.2861018180847168,0.016816148534417152,0.10650310665369034,33933.52229438581,30530.56507385255,0.16936874389648438,-59.14265060424805,0.034681618213653564,7957.250464110502,8102.8420998113315,0.08465171605348587,0.05282716080546379,6928.589608453299,6735.378449554665,0.10353624075651169,0.1035853922367096,0.15096135437488556,0.16473156213760376,0.08427426964044571,0.06994576007127762,7351.2038777318,6325.106568564547
103,AGILE_LDP_Italy,FC550,2018-03-27,Italy,0.2770944135954328,0.8482470447259224,0.12914638935512324,0.9076879452734555,0.9076879452734555,50,0.22557830810546875,27415.38604218895,20588.921815107104,0.15225091576576233,0.05691935867071152,0.16340450942516327,35252.651617034906,36120.43517474634,0.49371469020843506,0.4334201216697693,0.13929444551467896,0.2965755760669708,-0.002574565587565303,0.09078330546617508,35629.496223924776,30234.519475760993,0.15268707275390625,-59.1210823059082,0.030544685199856758,7564.92865973466,7080.5144344621385,0.07410509139299393,0.049719907343387604,5608.9338791642795,5468.492514427753,0.09409243613481522,0.08665981143712997,0.13666026294231415,0.15704143047332764,0.06887013465166092,0.05648346617817879,6688.56687409408,5371.247690758931
104,AGILE_LDP_Italy,FC550,2018-03-27,Italy,0.3151527450398839,0.9647519870024939,0.1374848331666252,0.9053918450992863,0.9053918450992863,50,0.201568603515625,27952.07481150778,22296.324434097776,0.14250795543193817,0.06201741099357605,0.16202183067798615,35856.66819125521,37004.84607954827,0.5010852217674255,0.45250973105430603,0.13372908532619476,0.2614556849002838,0.006060137879103422,0.09858563542366028,35632.63961692762,30477.164569815246,0.14450836181640625,-59.047874450683594,0.030842656269669533,6940.937482226041,6213.9131261939865,0.07467237859964371,0.04425659775733948,5574.23872785554,5525.445694592325,0.0895686075091362,0.08280543237924576,0.11538460105657578,0.11716694384813309,0.0707242339849472,0.04437058046460152,6660.499200790397,5309.143902107784
105,AGILE_LDP_Italy,FC550,2018-03-27,Italy,0.19210953600199837,0.5880896206027101,0.057835623524231994,0.9081203700421792,0.9081203700421792,50,0.18870925903320312,29337.894312433647,23985.2498171475,0.09834491461515427,0.03789498656988144,0.1385500729084015,35591.292645038404,37134.832872815925,0.5128473043441772,0.467262864112854,0.10352667421102524,0.23186343908309937,-0.016678649932146072,0.07359194755554199,36877.79458877162,32124.658472165785,0.09148788452148438,-59.066043853759766,0.03024739772081375,6239.487727587431,6901.741762721196,0.05666593462228775,0.039459049701690674,5154.426692657087,5571.058703397477,0.08187121152877808,0.08799298107624054,0.09521735459566116,0.12300043553113937,0.05440367013216019,0.05091031268239021,5759.068872260408,5346.950465891718
106,AGILE_LDP_Italy,FC550,2018-03-27,Italy,0.2395295109348902,0.7332526143244162,0.1030852186166954,0.9053918450992863,0.9053918450992863,50,0.256072998046875,27655.556898893243,21725.550229724005,0.1405862271785736,0.04314262419939041,0.1501355916261673,34161.00827336445,35856.690899019195,0.48813503980636597,0.4395616948604584,0.11837739497423172,0.27483195066452026,-0.00976930558681488,0.08687856048345566,35011.755849893074,30309.55948385415,0.13844680786132812,-59.048614501953125,0.028049394488334656,7467.797189197861,8158.423893360876,0.06918419152498245,0.04786420240998268,5936.8177169698565,6302.562874564203,0.09616897255182266,0.10081613808870316,0.13466687500476837,0.17323347926139832,0.07030579447746277,0.07070283591747284,6792.028808747979,6182.151254252778
107,AGILE_LDP_Italy,FC550,2018-03-27,Italy,0.10428328629566681,0.31923412072136553,0.037355857451783436,0.9064094410289025,0.9064094410289025,50,0.17755126953125,27166.47951132802,21452.045080741627,0.11701712012290955,0.01816728338599205,0.11294464766979218,31719.77733772005,32896.14967105263,0.4687417447566986,0.41628509759902954,0.08387080579996109,0.23097659647464752,-0.03212409466505051,0.05518675968050957,33891.889323749085,29536.59898325359,0.11804962158203125,-59.038841247558594,0.02563656121492386,5459.9413600333955,6377.378371074207,0.041926149278879166,0.029189152643084526,4298.887614189604,4443.061437160964,0.0722842887043953,0.07526582479476929,0.08658767491579056,0.13856223225593567,0.044155463576316833,0.055189281702041626,4960.511331308514,4431.201248567254
