plot_name,trial_name,sensor_type,mission_date,variety_name,field_name,crop_area_fraction_blue-ndvi-based,crop_area_m2_blue-ndvi-based,crop_volume_m3_blue-ndvi-based,foreground,foreground_pre_dsm,ground_dilation_pix_blue-ndvi-based,max_crop_height_m_blue-ndvi-based,mean_blue,mean_blue_ndvi,mean_crop_height_m_blue-ndvi-based,mean_green,mean_ndyi,mean_nir,mean_nir_segmented,median_crop_height_m_blue-ndvi-based,median_ground_elevation_m_blue-ndvi-based,sd_crop_height_m_blue-ndvi-based,std_blue,std_blue_ndvi,std_green,std_ndyi,std_nir,std_nir_segmented
6101,lentilagile,ILCE-QX1,2017-07-12,NA,Rosthern,0.399551825185303,0.8541659448434227,0.11506414623925017,0.9965248414376321,0.9965248414376321,50,0.22991943359375,93.21543330195226,0.24866211414337158,0.13470935821533203,84.37456188038948,-0.058404672890901566,157.21480568041687,190.03558667684376,0.136260986328125,510.18670654296875,0.02859540469944477,28.844601845782627,0.1427059769630432,28.947671499464914,0.1441667526960373,48.920965426570724,49.003997253137214
6102,lentilagile,ILCE-QX1,2017-07-12,NA,Rosthern,0.5449711848983888,1.1552082228527798,0.2915496077335358,0.9943758427364985,0.9943758427364985,50,0.36895751953125,84.1185567470159,0.3086528182029724,0.2523784041404724,84.60935910931896,-0.004614664241671562,162.52502810141488,190.92859481403877,0.25933837890625,510.1945495605469,0.0474240742623806,30.016001635261553,0.16348135471343994,29.899080126806528,0.16545844078063965,52.59068968927747,43.24812349084775
6103,lentilagile,ILCE-QX1,2017-07-12,NA,Rosthern,0.36141573073391253,0.7726376561389859,0.12434826325202211,0.9934780415703578,0.9934780415703578,50,0.2237548828125,95.34910291728474,0.2277711182832718,0.16093994677066803,81.7445830684467,-0.08291755616664886,152.36699600904146,180.35760092835767,0.164276123046875,510.2060241699219,0.02801297977566719,29.368914498294874,0.1303720623254776,27.167236886305986,0.12455959618091583,44.53812501090523,46.53721372009381
6104,lentilagile,ILCE-QX1,2017-07-12,NA,Rosthern,0.6728549253305262,1.4262900822761326,0.34316174504963487,0.9943758427364985,0.9943758427364985,50,0.3363037109375,78.75655699680625,0.3431752622127533,0.2405974417924881,84.95695130872303,0.02305663749575615,164.81996806251897,187.15546981689934,0.246002197265625,510.185791015625,0.04055493697524071,27.760821564928115,0.14876027405261993,32.769133458618924,0.16046231985092163,55.28794117909166,45.78615838557183
6105,lentilagile,ILCE-QX1,2017-07-12,NA,Rosthern,0.5989524861878454,1.2804449167854013,0.2678292688141667,0.9946366553831274,0.9946366553831274,50,0.295562744140625,80.78548950276243,0.3251548111438751,0.2091689109802246,84.67787403314917,0.010005902498960495,162.87976574585636,191.17916362267826,0.211517333984375,510.173828125,0.04334641620516777,26.6138449544147,0.15800145268440247,31.69372478366318,0.17027926445007324,53.92415464540328,44.458870200390166
6106,lentilagile,ILCE-QX1,2017-07-12,NA,Rosthern,0.6532374614163113,1.3847049014325257,0.3332556844381059,0.9943758427364985,0.9943758427364985,50,0.321441650390625,78.30990061912324,0.346263587474823,0.2406691014766693,84.22895070208932,0.02459859289228916,164.7804922654201,188.09641647547252,0.25067138671875,510.17578125,0.04462505504488945,29.456903903454062,0.16280610859394073,32.40076541022435,0.17376010119915009,55.12654042788083,45.345722602437384
6107,lentilagile,ILCE-QX1,2017-07-12,NA,Rosthern,0.5743612737599127,1.2362828570032203,0.26256441448749934,0.9944221017660431,0.9944221017660431,50,0.311248779296875,84.39879288213676,0.31124988198280334,0.21238215267658234,83.10182694167501,-0.018050890415906906,162.30376641873715,185.5292136723354,0.213165283203125,510.18841552734375,0.04403175786137581,31.556113740137008,0.15586204826831818,32.269033223534365,0.15880419313907623,53.17529918728505,48.78134066029437
6108,lentilagile,ILCE-QX1,2017-07-12,NA,Rosthern,0.5175475033141848,1.1064156859517444,0.2068645079359879,0.9944280390916121,0.9944280390916121,50,0.28668212890625,85.28178965974371,0.2956283390522003,0.18696816265583038,83.29826336721166,-0.025076985359191895,160.2983870967742,191.59269473450533,0.18988037109375,510.1974182128906,0.03813760727643967,29.20532487625592,0.15960219502449036,30.919861286803243,0.16951189935207367,52.06912009429509,42.033352323345376
6109,lentilagile,ILCE-QX1,2017-07-12,NA,Rosthern,0.7021537972054548,1.501067482905093,0.34232612421319863,0.9944192505097378,0.9944192505097378,50,0.323211669921875,78.29136360020857,0.3543476164340973,0.22805511951446533,85.24382451457812,0.027802543714642525,166.91667624106267,186.36824086194744,0.234039306640625,510.1908874511719,0.038860201835632324,29.486480109742043,0.1476893424987793,33.73666351251478,0.16219209134578705,55.511783033119954,46.59922599219843
6110,lentilagile,ILCE-QX1,2017-07-12,NA,Rosthern,0.533511586452763,1.1309136049245745,0.25287226537098745,0.9934346542236467,0.9934346542236467,50,0.307281494140625,83.43795008912656,0.3022577166557312,0.22359998524188995,81.48172905525847,-0.029195616021752357,157.69839126559714,184.35117774807884,0.22705078125,510.21405029296875,0.03953605517745018,34.921076792590675,0.1624726951122284,35.07225461913151,0.17315851151943207,57.70489348239737,52.868209710671174
6111,lentilagile,ILCE-QX1,2017-07-12,NA,Rosthern,0.47060948846503825,0.9975762659510665,0.15089260157956375,0.9943758427364985,0.9943758427364985,50,0.22454833984375,93.17961710707085,0.2626698315143585,0.15125921368598938,85.80659981800989,-0.04132246598601341,159.62559994290507,185.74714942419791,0.154449462890625,510.22784423828125,0.026523137465119362,34.49428319163311,0.1663336455821991,29.105192180621,0.15530310571193695,47.521778855729124,41.68256599924029
6112,lentilagile,ILCE-QX1,2017-07-12,NA,Rosthern,0.4864304812834225,1.0311125140277013,0.16100299329690188,0.9934346542236467,0.9934346542236467,50,0.24456787109375,91.16858734402852,0.2637723386287689,0.15614493191242218,83.55264705882352,-0.04563111066818237,156.99918003565062,179.75008932252302,0.154815673828125,510.233642578125,0.03317597135901451,30.85902517601086,0.14683376252651215,27.4550467153314,0.1361345648765564,46.246243372468925,44.45342878493505
6113,lentilagile,ILCE-QX1,2017-07-12,NA,Rosthern,0.3545249668581529,0.7579040129342643,0.12446314781856171,0.9944280390916121,0.9944280390916121,50,0.230010986328125,95.25570923552806,0.2203531563282013,0.1642201989889145,79.40867874502872,-0.09642941504716873,149.19715422006186,174.86639494447144,0.167144775390625,510.223876953125,0.028773397207260132,30.148391423213294,0.1273379772901535,27.079444483661845,0.11653105914592743,42.91562778428095,45.72979756040694
6114,lentilagile,ILCE-QX1,2017-07-12,NA,Rosthern,0.39073077667000755,0.8410257782814257,0.15842021966092368,0.9944221017660431,0.9944221017660431,50,0.261810302734375,92.91252132018076,0.2333724945783615,0.18836547434329987,79.74877354011711,-0.08144726604223251,149.7150744667757,174.81662822748496,0.195159912109375,510.2310791015625,0.036397047340869904,32.7091737251224,0.13789519667625427,28.66433007242136,0.12241675704717636,46.70877968288988,47.082696547169974
6115,lentilagile,ILCE-QX1,2017-07-12,NA,Rosthern,0.42618314822248987,0.9034021395889137,0.16865433052579162,0.9943847136470088,0.9943847136470088,50,0.2705078125,95.249788126143,0.24555103480815887,0.18668799102306366,84.53840046389223,-0.06484903395175934,157.41106204558633,182.49878592510413,0.188201904296875,510.25860595703125,0.04023295268416405,32.90286896519715,0.1379862278699875,29.82934907204398,0.12796734273433685,47.55614926499635,46.270394081561655
6116,lentilagile,ILCE-QX1,2017-07-12,NA,Rosthern,0.5640617333511754,1.1956700018553705,0.2512568348763105,0.9943847136470088,0.9943847136470088,50,0.29266357421875,83.57090860430884,0.29797810316085815,0.2101389467716217,81.74605914625987,-0.02676822803914547,158.05058209554394,186.69956586033197,0.2158203125,510.2669677734375,0.041093986481428146,29.108798303241656,0.14799052476882935,31.880024817988115,0.1523093432188034,54.2552196680603,44.13596789115066
6117,lentilagile,ILCE-QX1,2017-07-12,NA,Rosthern,0.284451871657754,0.6029667127052774,0.10411326004479181,0.9934346542236467,0.9934346542236467,50,0.239593505859375,98.0167201426025,0.20177045464515686,0.17266833782196045,80.9256862745098,-0.10143272578716278,147.17939839572193,178.41174351020663,0.175811767578125,510.26458740234375,0.031461331993341446,34.32977803352026,0.12950335443019867,29.960760489218345,0.117591492831707,45.015063578919744,45.281682858989456
6118,lentilagile,ILCE-QX1,2017-07-12,NA,Rosthern,0.49896515424554394,1.0576807483387503,0.17309508743043547,0.9943758427364985,0.9943758427364985,50,0.249847412109375,90.5203489928096,0.2746710181236267,0.1636553257703781,87.6759996074723,-0.029134664684534073,162.5745445786572,195.33435840589297,0.16387939453125,510.26226806640625,0.03563203662633896,31.30802826301363,0.14867794513702393,32.8723588897974,0.14943499863147736,54.16203864011027,43.56215895957578
6119,lentilagile,ILCE-QX1,2017-07-12,NA,Rosthern,0.6898839796567069,1.4748324687703098,0.2853653982168166,0.9934780415703578,0.9934780415703578,50,0.45013427734375,82.84178321678321,0.35964101552963257,0.19349004328250885,89.80771438157802,0.03705001249909401,175.57684802571166,190.78116300946456,0.19866943359375,510.23919677734375,0.03545038774609566,32.70521518745771,0.1563299149274826,31.830488240585314,0.1629563868045807,50.04206247570277,44.02411450802807
6120,lentilagile,ILCE-QX1,2017-07-12,NA,Rosthern,0.6500552486187845,1.3896871486447087,0.3029262582102712,0.9946366553831274,0.9946366553831274,50,0.296234130859375,74.93508950276244,0.34729284048080444,0.21798162162303925,78.92539668508287,0.000288988056126982,157.60230276243095,178.12482066972632,0.223419189453125,510.2433166503906,0.03716573119163513,31.895807218489725,0.15940049290657043,36.55829050312869,0.18671786785125732,60.1235292134787,57.29727428897541
6121,lentilagile,ILCE-QX1,2017-07-12,NA,Rosthern,0.5363581556324662,1.1369452642369513,0.1845986150328356,0.9955407952767108,0.9955407952767108,50,0.240966796875,80.42264150943396,0.2951489984989166,0.1623636782169342,77.4261382159205,-0.03771628811955452,150.5569900636374,175.5646606274562,0.163177490234375,510.2449951171875,0.036010656505823135,28.23131863024307,0.13796104490756989,31.556702121062898,0.1501469612121582,52.50247979900999,50.71548839081316
6122,lentilagile,ILCE-QX1,2017-07-12,NA,Rosthern,0.4454625013259786,0.9523097034571232,0.15400730548755184,0.994627863014903,0.994627863014903,50,0.231475830078125,87.93368781160497,0.2637619972229004,0.16171976923942566,78.34124500548072,-0.06817398220300674,150.87911937343094,174.674326536687,0.16241455078125,510.2320251464844,0.028120890259742737,33.606353049226435,0.14036399126052856,31.11665524289683,0.13930809497833252,48.96520140904408,48.006862863299325
