plot_name,trial_name,sensor_type,mission_date,variety_name,field_name,crop_area_fraction_blue-ndvi-based,crop_area_fraction_excess-green-based,crop_area_fraction_ndvi-based,crop_area_m2_blue-ndvi-based,crop_area_m2_excess-green-based,crop_area_m2_ndvi-based,crop_volume_m3_excess-green-based,crop_volume_m3_ndvi-based,foreground,foreground_pre_dsm,ground_dilation_pix_excess-green-based,ground_dilation_pix_ndvi-based,max_crop_height_m_excess-green-based,max_crop_height_m_ndvi-based,mean_blue,mean_blue_ndvi,mean_blue_segmented,mean_crop_height_m_excess-green-based,mean_crop_height_m_ndvi-based,mean_excess_green,mean_excess_green_segmented,mean_green,mean_green_segmented,mean_luminance,mean_luminance_segmented,mean_ndre,mean_ndre_segmented,mean_ndvi,mean_ndvi_segmented,mean_ndyi,mean_ndyi_segmented,mean_ngrdi,mean_ngrdi_segmented,mean_nir,mean_nir_segmented,mean_red,mean_red_segmented,mean_rededge,mean_rededge_segmented,median_crop_height_m_excess-green-based,median_crop_height_m_ndvi-based,median_ground_elevation_m_excess-green-based,median_ground_elevation_m_ndvi-based,sd_crop_height_m_excess-green-based,sd_crop_height_m_ndvi-based,std_blue,std_blue_ndvi,std_blue_segmented,std_excess_green,std_excess_green_segmented,std_green,std_green_segmented,std_luminance,std_luminance_segmented,std_ndre,std_ndre_segmented,std_ndvi,std_ndvi_segmented,std_ndyi,std_ndyi_segmented,std_ngrdi,std_ngrdi_segmented,std_nir,std_nir_segmented,std_red,std_red_segmented,std_rededge,std_rededge_segmented
6101,lentilagile,RedEdge,2017-06-27,NA,Rosthern,1,0.10695989819558195,0.14373348125428265,1.9343354362994607,0.20689632134269692,0.27802876617284317,0.0036185613164711242,0.004694576359227934,0.9935808072621171,0.9935808072621171,50,50,0.03989091038420156,0.04004328893739739,2814.7641530981823,0.559901237487793,2185.392922513728,0.01748973250460769,0.01688521811555801,0.003802038263529539,0.031314413994550705,4324.396613045323,4903.233068944478,0.0633939802646637,0.05460707098245621,0.2278539389371872,0.2912605106830597,0.30645090341567993,0.5952123999595642,0.21283982694149017,0.3877168297767639,-0.09793087095022202,0.1795395314693451,10218.277123372598,10218.277123372598,5335.695924560316,3516.693105552166,6388.6251509119975,7926.493530079455,0.016999166681557654,0.016516526672432974,509.16456842654696,509.16433522238526,0.00847897496158087,0.008257242819714452,573.6132885146716,0.082377128303051,562.0353499279018,0.010872387327253819,0.010366512462496758,745.2175263773723,740.5618103691412,0.011709884740412235,0.01147536188364029,0.04245447367429733,0.039300981909036636,0.13219119608402252,0.11815253645181656,0.07241393625736237,0.06339352577924728,0.1085357517004013,0.11011988669633865,2344.4904628039862,2344.4904628039862,1202.354762952712,1278.934414942963,1200.8316018892847,1433.2232770494675
6102,lentilagile,RedEdge,2017-06-27,NA,Rosthern,1,0.14095976732913232,0.19657456778154792,1.9518411981985504,0.2751310811614825,0.38368233991409867,0.008853936899914436,0.011653074584918622,0.9968109779667569,0.9968109779667569,50,50,0.08420695162158154,0.0842472199731219,2748.8334787526255,0.5730435252189636,2055.1352590554793,0.032180794923412526,0.030371673055183068,0.005177682265639305,0.031706079840660095,4304.130166424301,4723.247134342045,0.06220632046461105,0.05221468582749367,0.23419301211833954,0.3054167628288269,0.3278964161872864,0.6144219040870667,0.22403624653816223,0.3992915153503418,-0.08093667775392532,0.2036771923303604,10456.09943448053,10456.09943448053,5180.788043302634,3235.643053645117,6432.53792211989,7617.478382377117,0.029138119602748702,0.02697352082634552,509.17914917283736,509.1791088904978,0.011410160161574732,0.0110433413514798,678.5640237772055,0.09772419184446335,642.0309194721592,0.01210799254477024,0.010485291481018066,842.086150702929,884.4673269547736,0.013799170963466167,0.013247603550553322,0.05068043991923332,0.04154456779360771,0.1578947752714157,0.12615922093391418,0.08215924352407455,0.06300531327724457,0.12853024899959564,0.11254903674125671,2713.7759473157403,2713.7759473157403,1423.4963826063827,1379.8641102244765,1334.5978487161044,1668.004751899775
6103,lentilagile,RedEdge,2017-06-27,NA,Rosthern,1,0.07421484941214367,0.08735706232887744,1.9518404810633139,0.1448555473786399,0.17050705056027404,0.0034588974093957667,0.004013059229238496,0.9936625804180136,0.9936625804180136,50,50,0.03535900120868973,0.03546359051563286,3097.893928168787,0.5269693732261658,2557.5868055555557,0.02387825300438448,0.023536031008992698,0.002416465897113085,0.02914799563586712,4707.701948784023,5303.450086805556,0.07011876255273819,0.06109414994716644,0.19618353247642517,0.27049529552459717,0.2522725462913513,0.5647228956222534,0.2072107344865799,0.35512110590934753,-0.11656324565410614,0.13257354497909546,10112.129682718634,10112.129682718634,6000.783829924303,4228.885416666667,6778.630794008697,8365.33407079646,0.023860169194080072,0.023477990912709856,509.1940265497868,509.19402461850063,0.005322663150102145,0.0052976811288941664,598.112735239419,0.06862479448318481,690.6309390892472,0.00911613181233406,0.011005028150975704,815.4316277157826,884.6754672785419,0.012693441472947598,0.014984440058469772,0.04085814580321312,0.041967086493968964,0.10937221348285675,0.1070537194609642,0.0546439103782177,0.05698740854859352,0.08385259658098221,0.11124637722969055,1974.306774509547,1974.306774509547,1231.1713711033099,1658.6525509020012,1179.1154173393468,1383.5311478493245
6104,lentilagile,RedEdge,2017-06-27,NA,Rosthern,1,0.1963808958765945,0.25890767658789016,1.9208065678619466,0.3772097146023758,0.49731156565989615,0.011604765113177037,0.014739754488118973,0.9935811364008514,0.9935811364008514,50,50,0.09620542308766744,0.09623975671553353,2489.027950822374,0.5876238942146301,1979.5411211816045,0.030764756749199443,0.029638873305832723,0.0075101652182638645,0.032855741679668427,4132.502257819968,4720.717690500168,0.05797164887189865,0.05126740038394928,0.21649566292762756,0.28551754355430603,0.3397355377674103,0.6102457642555237,0.24926483631134033,0.4102148413658142,-0.06141826510429382,0.20654959976673126,10114.478690794027,10114.478690794027,4791.619170045156,3155.491943605237,6412.5836052605555,7800.053596435391,0.026927566544742376,0.025793905100869097,509.1896236015069,509.1895848648362,0.012377658702758521,0.011623054806843131,566.972903109081,0.10421805083751678,402.7404619962936,0.013986452482640743,0.00996201392263174,784.0334024575315,723.1428737371066,0.012339644134044647,0.008829406462609768,0.056891731917858124,0.04626992717385292,0.1768788993358612,0.12048294395208359,0.09041313081979752,0.056703511625528336,0.14718259871006012,0.10475289821624756,3113.9501446730746,3113.9501446730746,1369.0681557465625,924.7067754316789,1471.8280317093831,1616.9721762509362
6105,lentilagile,RedEdge,2017-06-27,NA,Rosthern,1,0.14706551040956187,0.2020526811523596,1.938189966934641,0.2850408967579348,0.39161647940174743,0.014780755623535329,0.019554783079807903,0.9967948717948718,0.9967948717948718,50,50,0.12091599237004402,0.12099888202078546,2501.2249179901914,0.5829607844352722,1993.1417844522969,0.051854859396150386,0.04993350409993152,0.006477438844740391,0.03794082626700401,4034.171684692585,4965.115061837456,0.05735955759882927,0.053118977695703506,0.23300667107105255,0.30150312185287476,0.3397866487503052,0.6341637969017029,0.23382197320461273,0.427049845457077,-0.07035446166992188,0.2560723125934601,10053.48036636461,10053.48036636461,4718.120497580305,2964.184187279152,6161.74003702621,8089.736537534159,0.04714186576507018,0.04446128206274125,509.1851094547733,509.1850338253897,0.01893521230579329,0.01820057465011286,557.0139702378582,0.09960335493087769,402.4523957797997,0.014275933615863323,0.011627375148236752,828.5984582400074,844.9216749004631,0.011412784457206726,0.00890151783823967,0.05093507468700409,0.041977375745773315,0.16593672335147858,0.1365250200033188,0.09091252833604813,0.0635409951210022,0.1465415209531784,0.10926879942417145,3414.4007707911574,3414.4007707911574,1234.5004058733757,779.5262271265967,1609.2327600775884,2168.405096633564
6106,lentilagile,RedEdge,2017-06-27,NA,Rosthern,1,0.19656083792867166,0.2665187457173622,1.9343321547975192,0.3802139491793734,0.5155357796973974,0.01607254998243364,0.0207682814524344,0.9935808072621171,0.9935808072621171,50,50,0.15457386285356733,0.15469985788951135,2530.2186510914607,0.5938699841499329,1919.6145418326694,0.04227238379108258,0.04028484980154956,0.00830599945038557,0.034657929092645645,4168.339282800926,4713.7915006640105,0.057992205023765564,0.050700053572654724,0.2393742799758911,0.29858678579330444,0.3612837791442871,0.6236069202423096,0.2471848726272583,0.42289865016937256,-0.048427335917949677,0.23613041639328003,10386.396352008353,10386.396352008353,4717.792475609358,2965.3539176626828,6310.325741508141,7562.548604309501,0.03364783883384348,0.03246965254197676,509.18700418552123,509.1869063300823,0.026354349260338663,0.024237829540516783,748.8404993792666,0.10843464732170105,462.8250784921134,0.014430178329348564,0.010509083978831768,1006.3160305835268,837.5807590371027,0.015190751291811466,0.009754344820976257,0.053229011595249176,0.04247584566473961,0.17780086398124695,0.1298152059316635,0.09867618978023529,0.06182016432285309,0.1543707549571991,0.10901010781526566,3173.9374665886626,3173.9374665886626,1565.155109457893,967.8496315393422,1606.8851404624522,1818.256117507134
6107,lentilagile,RedEdge,2017-06-27,NA,Rosthern,0.9999675808856902,0.2057965376385917,0.2511508785579978,1.951774617510554,0.40168148069239734,0.4902058019729052,0.03068144289446436,0.03679751769952409,0.9936219559335138,0.9936219559335138,50,50,0.14017647065099936,0.1403454898118639,2746.499967580886,0.582983672618866,2118.757561436673,0.07638251791339075,0.07506544710696422,0.009099300019443035,0.039197541773319244,4551.399241392725,5232.344202898551,0.06360652297735214,0.05631738156080246,0.22418011724948883,0.29410508275032043,0.34316226840019226,0.6406561136245728,0.24913136661052704,0.4259408712387085,-0.04904503747820854,0.2511931359767914,11025.264280619853,11025.26620197763,5163.653277572456,3208.308916194077,6874.066913051935,8508.128565896475,0.07103214793954749,0.06911327975748804,509.19997518603935,509.1998111308489,0.024752482746321074,0.024674170327556394,757.998285837392,0.113737553358078,545.3613980541373,0.01690266840159893,0.012732136063277721,1033.5795552144086,930.5702807436855,0.01518681738525629,0.011523082852363586,0.056857071816921234,0.04422566294670105,0.19021092355251312,0.13095422089099884,0.10166501998901367,0.06630496680736542,0.16724224388599396,0.12330392748117447,3611.673553199205,3611.7320824874555,1650.4861326268406,1192.9986525581526,1707.477847247911,1933.1985436735251
6108,lentilagile,RedEdge,2017-06-27,NA,Rosthern,0.9999675808856902,0.1993451338909421,0.23750243143357325,1.9517740155414545,0.38908926638237656,0.46356610270243787,0.015614240335287967,0.01821609378341668,0.9936219559335138,0.9936219559335138,50,50,0.08128426231513686,0.08128907526543117,2686.3485054788302,0.5711342096328735,2091.2800455358597,0.04013022636287044,0.03929556901857761,0.008119472302496433,0.03560961037874222,4446.679310121248,5035.9125060985525,0.06239102780818939,0.05442298576235771,0.20439940690994263,0.277154803276062,0.31949225068092346,0.6161694526672363,0.2483789175748825,0.4135841131210327,-0.06063533574342728,0.21278302371501923,10385.325974194386,10385.307148646458,5142.7909291318165,3313.1932021466905,6742.939116903326,8400.054736554737,0.03761550041980399,0.03641316638078251,509.2085035545542,509.20849058171365,0.013675766225298784,0.013646690770642927,650.6729412853884,0.10877025872468948,386.778423429956,0.015095936134457588,0.010576651431620121,863.0323997183516,713.8933199664893,0.013189124874770641,0.007890254259109497,0.059809863567352295,0.054261431097984314,0.18091024458408356,0.1180805042386055,0.09265641123056412,0.05829164758324623,0.15010949969291687,0.10832034796476364,3257.968573424364,3258.0197072517494,1455.0069219290247,865.0882135660563,1546.9530858928356,1603.244647098755
6109,lentilagile,RedEdge,2017-06-27,NA,Rosthern,1,0.17305323218569668,0.2089736108409518,1.95183662705115,0.3377716370096297,0.407882347726503,0.012622348436412113,0.014967996010200598,0.9936219559335138,0.9936219559335138,50,50,0.07215657946363763,0.07221673011599705,2733.1475718083384,0.5618085861206055,2222.6388160359684,0.03736947408657719,0.03669684675895088,0.0065682632848620415,0.032849956303834915,4439.676878687675,5060.891345073061,0.06321877986192703,0.05597474426031113,0.19758133590221405,0.27549880743026733,0.30260464549064636,0.6000125408172607,0.2387108951807022,0.3914273977279663,-0.07646039873361588,0.18154416978359222,10236.769208325228,10236.769208325228,5285.30389677754,3593.500562008243,6753.475134539324,8394.53366428793,0.035071549389869006,0.0342231480568671,509.21948596823535,509.21942470293607,0.01391799809964373,0.013645950566323797,593.8658915519903,0.10057154297828674,467.0568788380445,0.0135905547067523,0.011032460257411003,821.4156327059372,749.8344831698826,0.012958693318068981,0.010346238501369953,0.06386134028434753,0.06464063376188278,0.16898959875106812,0.11767985671758652,0.08096569031476974,0.058228328824043274,0.13380354642868042,0.11233498901128769,3171.042818132783,3171.042818132783,1412.0397474704735,1186.8872766029604,1555.267080423408,1680.2166181743567
6110,lentilagile,RedEdge,2017-06-27,NA,Rosthern,1,0.19956276307632068,0.25868763663653865,1.9343296217721568,0.3860201640212259,0.500387158332289,0.027603105237701115,0.034771137103966586,0.9935808072621171,0.9935808072621171,50,50,0.11645852507956533,0.11646395482677008,2647.97601722844,0.5885652303695679,1989.914323086985,0.07150689992500836,0.06948846812906484,0.009656848385930061,0.04277811944484711,4469.028616177766,5358.081425768476,0.06199949234724045,0.056174542754888535,0.21785123646259308,0.28942495584487915,0.3473243713378906,0.6391242146492004,0.25694936513900757,0.45801639556884766,-0.04532824084162712,0.2714604139328003,10995.196495578686,10995.196495578686,5024.358077462721,3119.320961412688,6918.41465722583,8708.397704339051,0.06936085556333182,0.0664241285722369,509.24183004825204,509.24182035682395,0.018937189495747485,0.018583837195578993,810.1743872251745,0.11895879358053207,458.94026512869044,0.018266553059220314,0.01423018891364336,1127.416622695335,949.1043538350256,0.016330493614077568,0.010172535665333271,0.061715018004179,0.05281643941998482,0.1941436380147934,0.14371125400066376,0.11392209678888321,0.07539847493171692,0.17353056371212006,0.12915432453155518,4266.997693373846,4266.997693373846,1722.525823492038,1046.9991809846192,2061.3732808810623,2544.10158127231
