plot_name,trial_name,sensor_type,mission_date,variety_name,field_name,crop_area_fraction_blue-ndvi-based,crop_area_m2_blue-ndvi-based,crop_volume_m3_blue-ndvi-based,foreground,foreground_pre_dsm,ground_dilation_pix_blue-ndvi-based,max_crop_height_m_blue-ndvi-based,mean_blue,mean_blue_ndvi,mean_crop_height_m_blue-ndvi-based,mean_green,mean_ndyi,mean_nir,mean_nir_segmented,median_crop_height_m_blue-ndvi-based,median_ground_elevation_m_blue-ndvi-based,sd_crop_height_m_blue-ndvi-based,std_blue,std_blue_ndvi,std_green,std_ndyi,std_nir,std_nir_segmented
6101,lentilagile,ILCE-5100,2017-06-28,NA,Rosthern,0.154948109058927,0.28045394808139196,0.03400726130436828,0.98892267442265,0.98892267442265,50,0.19293212890625,129.35626385224273,0.09902089834213257,0.12125791609287262,88.53825153913809,-0.18670369684696198,157.35018469656993,170.92693669966397,0.118804931640625,507.5392150878906,0.025587458163499832,21.29041322381621,0.08001017570495605,14.6298261133068,0.05688772723078728,22.24172017854347,30.432978363315314
6102,lentilagile,ILCE-5100,2017-06-28,NA,Rosthern,0.2009944634481786,0.36379708923104337,0.04976787226015356,0.9889170979396543,0.9889170979396543,50,0.216552734375,126.05883556088443,0.11256060749292374,0.13680118322372437,87.49998236766936,-0.17815829813480377,157.07020488768205,169.66162537721945,0.13330078125,507.5468444824219,0.03130759671330452,23.496662216939697,0.0941418781876564,15.164517566023433,0.06848650425672531,22.650265614992712,30.541171279943345
6103,lentilagile,ILCE-5100,2017-06-28,NA,Rosthern,0.10597713280562884,0.19181702343284554,0.02114378589980588,0.98892267442265,0.98892267442265,50,0.164031982421875,134.33874406332453,0.08446720987558365,0.11022893339395523,90.51953562005276,-0.19527634978294373,158.73710466138962,172.72931881556235,0.1077880859375,507.544677734375,0.02091846615076065,18.6420739191147,0.06435979902744293,13.883742195075524,0.0462859608232975,18.37293623178083,24.72876556876578
6104,lentilagile,ILCE-5100,2017-06-28,NA,Rosthern,0.2706069048206792,0.4897942889249789,0.06975113522970276,0.9918086684014662,0.9918086684014662,50,0.2547607421875,122.48655358465282,0.12143603712320328,0.1424090415239334,85.51401770285996,-0.17603854835033417,155.49195613076137,167.0739939532944,0.13836669921875,507.5260009765625,0.03359595686197281,25.304900332685,0.10042380541563034,16.71281531604112,0.07293792814016342,26.115411541949907,31.734304291883753
6105,lentilagile,ILCE-5100,2017-06-28,NA,Rosthern,0.21341223157242972,0.38627270140646264,0.05695068347289793,0.9918072827255091,0.9918072827255091,50,0.25335693359375,121.06488700008444,0.11374328285455704,0.1474364697933197,84.2717697222144,-0.17968538403511047,151.91798710984773,173.34519138834855,0.145904541015625,507.50665283203125,0.03646112605929375,24.930964829267104,0.10313230007886887,18.398499881351672,0.08284217864274979,29.29884553875756,39.80702264674434
6106,lentilagile,ILCE-5100,2017-06-28,NA,Rosthern,0.28003403452072817,0.49884706799502004,0.06762547319815627,0.9917319037894259,0.9917319037894259,50,0.24267578125,119.8574768693961,0.12589658796787262,0.13556353747844696,85.0391182485092,-0.1678202897310257,153.68425116904288,169.14890846418996,0.1282958984375,507.50830078125,0.03442360833287239,25.399574199877513,0.10789363086223602,17.2633128967826,0.08120814710855484,26.58828683907959,30.343453613924652
6107,lentilagile,ILCE-5100,2017-06-28,NA,Rosthern,0.2632884783137182,0.46901670800399864,0.0736163921816176,0.9917319037894259,0.9917319037894259,50,0.2354736328125,124.91556435813467,0.12229099124670029,0.15695899724960327,89.15510732314205,-0.16633841395378113,158.7108853265455,173.6862830296282,0.15338134765625,507.4999694824219,0.03542299196124077,28.51181271877446,0.10812969505786896,20.564883054054775,0.08428232371807098,29.247961783968588,34.6066509514925
6108,lentilagile,ILCE-5100,2017-06-28,NA,Rosthern,0.2420812538431838,0.431238458515201,0.061632023164797885,0.9917319037894259,0.9917319037894259,50,0.214019775390625,123.66243618527363,0.11521047353744507,0.142918661236763,87.42117004390167,-0.1702389419078827,155.14877947632598,170.32483681365744,0.1428070068359375,507.49737548828125,0.030003251507878304,24.969488491704272,0.09956436604261398,17.27211909110738,0.07488146424293518,25.301456118382298,29.124289190166074
6109,lentilagile,ILCE-5100,2017-06-28,NA,Rosthern,0.24381275936955726,0.43432279833755955,0.05532356497913952,0.9888093550673281,0.9888093550673281,50,0.20111083984375,124.07993061976333,0.11851514875888824,0.127378910779953,86.90164204671699,-0.1768421232700348,156.57374158728794,170.48040685539584,0.125579833984375,507.49945068359375,0.02681308425962925,25.89120983453039,0.09558450430631638,19.191737031630606,0.07550850510597229,26.65803487883748,32.95996550301049
6110,lentilagile,ILCE-5100,2017-06-28,NA,Rosthern,0.30277138240215073,0.5393502541650447,0.08548459661476025,0.9917319037894259,0.9917319037894259,50,0.263671875,118.17898868852693,0.13864687085151672,0.15849551558494568,85.53952580474481,-0.16260077059268951,154.94376438959517,165.88829850041327,0.150848388671875,507.5115966796875,0.04209846258163452,31.943658301270403,0.11586926132440567,24.1002544092439,0.09797420352697372,35.08250803498475,45.99510815367153
6111,lentilagile,ILCE-5100,2017-06-28,NA,Rosthern,0.24186620587509258,0.43777312395871254,0.06387069265883794,0.9889170979396543,0.9889170979396543,50,0.22412109375,123.70903833268682,0.11570106446743011,0.14589907228946686,87.53788482561625,-0.17479032278060913,154.9508904326974,169.49476569562302,0.143310546875,507.50213623046875,0.03137949854135513,32.163068687424925,0.10171449929475784,25.018436020848483,0.08416084200143814,33.84051293375003,40.33863753088379
