plot_name,trial_name,sensor_type,mission_date,field_name,crop_area_fraction_blue-ndvi-based,crop_area_fraction_excess-green-based,crop_area_fraction_ndvi-based,crop_area_m2_blue-ndvi-based,crop_area_m2_excess-green-based,crop_area_m2_ndvi-based,foreground,foreground_pre_dsm,mean_blue,mean_blue_ndvi,mean_blue_segmented,mean_excess_green,mean_excess_green_segmented,mean_green,mean_green_segmented,mean_luminance,mean_luminance_segmented,mean_ndre,mean_ndre_segmented,mean_ndvi,mean_ndvi_segmented,mean_ndyi,mean_ndyi_segmented,mean_ngrdi,mean_ngrdi_segmented,mean_nir,mean_nir_segmented,mean_red,mean_red_segmented,mean_rededge,mean_rededge_segmented,std_blue,std_blue_ndvi,std_blue_segmented,std_excess_green,std_excess_green_segmented,std_green,std_green_segmented,std_luminance,std_luminance_segmented,std_ndre,std_ndre_segmented,std_ndvi,std_ndvi_segmented,std_ndyi,std_ndyi_segmented,std_ngrdi,std_ngrdi_segmented,std_nir,std_nir_segmented,std_red,std_red_segmented,std_rededge,std_rededge_segmented
G32,Lentilagile,RedEdge,2018-08-03,Sutherland,1,0.2877669902912621,0.36310679611650487,NA,NA,NA,0.8969000348310693,0.8969000348310693,1975.1831067961166,0.5595266222953796,2272.760458839406,0.005859221797436476,0.029056111350655556,3127.614368932039,4735.189608636977,0.04489951953291893,0.053671594709157944,0.193293035030365,0.2397427260875702,0.3321058750152588,0.564704179763794,0.19793139398097992,0.34761300683021545,-0.07861360907554626,0.16809065639972687,8008.4034951456315,8008.4034951456315,3512.077475728155,3389.2341430499323,5290.616116504854,7661.256684491978,638.1990264374333,0.11244504898786545,554.9016435216743,0.016349587589502335,0.011942473240196705,1442.3613084467474,1232.901260454247,0.015305363573133945,0.013500126078724861,0.05737142637372017,0.06333872675895691,0.19347728788852692,0.1251247078180313,0.1066204234957695,0.05611887946724892,0.17104323208332062,0.09319010376930237,4613.500505903123,4613.500505903123,1232.0803420789236,1053.6357527286382,2743.7576974901363,2887.630125298284
G33,Lentilagile,RedEdge,2018-08-03,Sutherland,1,0.3485436893203884,0.4079611650485437,NA,NA,NA,0.8969000348310693,0.8969000348310693,1947.7900970873786,0.5680775046348572,2471.0378830083564,0.009165041148662567,0.03178183734416962,3235.7077669902915,5125.076880222841,0.04430291801691055,0.05814757198095322,0.19083374738693237,0.22839230298995972,0.35396042466163635,0.5779326558113098,0.20897246897220612,0.34550222754478455,-0.054661285132169724,0.17260263860225677,8529.466601941747,8529.466601941747,3322.363495145631,3613.4701949860723,5627.390291262136,8749.777248929082,607.5748705463451,0.11962231248617172,522.1467501080928,0.018269624561071396,0.012431123293936253,1663.2073583097779,1218.5886684340824,0.01536459382623434,0.013137207366526127,0.04938517138361931,0.04745381698012352,0.20232167840003967,0.11548096686601639,0.11008881777524948,0.05136725306510925,0.1790512055158615,0.09037856012582779,5469.057687772688,5469.057687772688,985.7236625643316,954.8254194889192,3327.336003340967,2926.7505572309274
G34,Lentilagile,RedEdge,2018-08-03,Sutherland,1,0.40501370936153547,0.4764982373678026,NA,NA,NA,0.9029177718832891,0.9029177718832891,2116.538973756365,0.5813852548599243,2613.1528046421663,0.010396800935268402,0.02818307839334011,3638.6639247943594,5379.366537717601,0.04858072102069855,0.06234850361943245,0.18946300446987152,0.2181309461593628,0.36455416679382324,0.5336219668388367,0.22644023597240448,0.3409499526023865,-0.047069791704416275,0.11051203310489655,9264.917156286721,9264.917156286721,3798.0801018409716,4451.624274661509,6334.036819428124,8637.103164817097,755.1597308542366,0.11436393111944199,737.0137106772007,0.017638107761740685,0.014741834253072739,1901.3191373526035,1606.9710301565137,0.019591528922319412,0.01895681768655777,0.06171124055981636,0.06989596039056778,0.1828780174255371,0.1177629679441452,0.11072862893342972,0.05922136455774307,0.15639518201351166,0.11651227623224258,5397.775490439864,5397.775490439864,1606.9170879859516,1837.3283536800545,3771.525056846613,3728.6934023516196
G35,Lentilagile,RedEdge,2018-08-03,Sutherland,1,0.47777130654241895,0.5890118423607067,NA,NA,NA,0.8970741901776385,0.8970741901776385,1988.0819258396427,0.6163531541824341,2239.544900446973,0.013682344928383827,0.029932530596852303,3531.754222481072,4752.408370581064,0.04547633230686188,0.05349400267004967,0.22117546200752258,0.26351508498191833,0.4364258050918579,0.600825309753418,0.25073572993278503,0.35535749793052673,0.014332951046526432,0.18157409131526947,10026.872646088139,10026.872646088139,3282.081537565521,3342.015440877692,6204.581634634052,7858.6736980883325,594.6640170969786,0.1334809809923172,612.0906852950714,0.01777298003435135,0.01185248140245676,1587.4046140863668,1361.8732671766088,0.01506785023957491,0.014904060401022434,0.07292746007442474,0.06422338634729385,0.22056999802589417,0.1257428377866745,0.11181103438138962,0.05464719980955124,0.17962424457073212,0.09403544664382935,5550.117246325764,5550.117246325764,1118.8433721961817,1242.2550959650503,3195.154372919647,3125.3699659687754
G36,Lentilagile,RedEdge,2018-08-03,Sutherland,0.9998054474708171,0.3196498054474708,0.4027237354085603,NA,NA,NA,0.8986013986013986,0.8986013986013986,1877.991634241245,0.5603846907615662,2293.7188070602556,0.00749571667984128,0.029683757573366165,3029.0153696498055,4770.241022519781,0.042236410081386566,0.053998496383428574,0.1970013529062271,0.2416175752878189,0.34756705164909363,0.5775699615478516,0.200362890958786,0.3456224501132965,-0.060117751359939575,0.17347238957881927,7966.922373540856,7967.173380035027,3197.575486381323,3356.1132075471696,5186.292996108949,7835.838164251208,554.6689980527406,0.12252379953861237,588.9621043586585,0.016981376335024834,0.012347620911896229,1506.1933683937616,1365.5398818532844,0.013890941627323627,0.014658567495644093,0.05455866456031799,0.05174789950251579,0.20443286001682281,0.1152762770652771,0.11130446195602417,0.05787269398570061,0.17421145737171173,0.0825713574886322,5102.101345570488,5102.565998221212,915.8220765079406,1048.0016659093972,3042.41425230618,3148.7446523024687
G37,Lentilagile,RedEdge,2018-08-03,Sutherland,1,0.3663194444444444,0.44367283950617287,NA,NA,NA,0.8925619834710744,0.8925619834710744,1994.3456790123457,0.5842111706733704,2437.6155871511323,0.01015709713101387,0.03291916474699974,3378.217399691358,5175.66140073723,0.045928772538900375,0.05835573375225067,0.20116758346557617,0.23857246339321136,0.374237596988678,0.5832002758979797,0.21908849477767944,0.35536307096481323,-0.04299241676926613,0.1823970228433609,8940.10474537037,8940.10474537037,3430.7984182098767,3598.992101105845,5838.727237654321,8288.07,695.7727649597418,0.1161622554063797,671.179513722812,0.01945038139820099,0.013943023048341274,1782.2255466982097,1503.2330086497548,0.01755383424460888,0.016675032675266266,0.05477910488843918,0.05344856157898903,0.20392432808876038,0.11730165034532547,0.11460950970649719,0.05471537262201309,0.18665434420108795,0.09257972240447998,5480.333644457812,5480.333644457812,1251.0540166031672,1274.5747831210392,3374.189976591651,3438.9372823674066
G38,Lentilagile,RedEdge,2018-08-03,Sutherland,1,0.4583333333333333,0.5628858024691358,NA,NA,NA,0.8925619834710744,0.8925619834710744,2192.2903163580245,0.6087008118629456,2630.215488215488,0.012978127226233482,0.03027442656457424,3888.462962962963,5481.328282828283,0.050836481153964996,0.06306387484073639,0.20237764716148376,0.22842489182949066,0.40514513850212097,0.5521702766418457,0.24542176723480225,0.3499680459499359,-0.019436493515968323,0.13577622175216675,10384.078510802468,10384.078510802468,3883.592399691358,4364.372053872054,6901.354359567901,8879.18574366004,882.0868406561206,0.11446748673915863,887.5021818321059,0.018730003386735916,0.014004274271428585,2030.5366102859587,1726.3154421677252,0.02192242629826069,0.021132828667759895,0.06255334615707397,0.06600598245859146,0.1918204426765442,0.12177405506372452,0.11098861694335938,0.06102950498461723,0.1692725569009781,0.1151716485619545,5907.066949722533,5907.066949722533,1847.8846845608412,2079.8560816388535,4035.8424388677545,4059.1394353857418
G39,Lentilagile,RedEdge,2018-08-03,Sutherland,1,0.5157565081229203,0.6396555098845175,NA,NA,NA,0.903448275862069,0.903448275862069,1921.7805832844,0.641115665435791,2180.5020872865275,0.0162359531968832,0.032599013298749924,3548.5946369152475,4742.595825426945,0.044699206948280334,0.05284544825553894,0.24361956119537354,0.27950987219810486,0.4783397316932678,0.6208644509315491,0.261521577835083,0.36217543482780457,0.042574238032102585,0.21725055575370789,10605.553532981014,10605.553532981014,3047.362301820317,3031.936622390892,6273.298101389704,7705.281211750306,624.0256619899951,0.12589536607265472,549.5085169016454,0.01981213688850403,0.01400314923375845,1713.0798204479224,1433.6571878516104,0.016390444710850716,0.014751412905752659,0.07409336417913437,0.06495168060064316,0.21847528219223022,0.13224312663078308,0.11772896349430084,0.06087642163038254,0.1966526061296463,0.08639629930257797,5961.538518967683,5961.538518967683,1061.716088753437,926.8421743194094,3343.8493904971797,3304.2361541809955
G4,Lentilagile,RedEdge,2018-08-03,Sutherland,0.9897107357794603,0.2253931275480489,0.4752475247524752,NA,NA,NA,0.8970741901776385,0.8970741901776385,2586.449427295671,0.5495344996452332,2410.344530577089,0.0020995610393583775,0.026978088542819023,3496.353329450592,4837.254091300603,0.052989937365055084,0.05539055913686752,0.24853795766830444,0.30669477581977844,0.3462044298648834,0.5008024573326111,0.15145227313041687,0.3305528461933136,-0.10189740359783173,0.13383683562278748,9418.6348281887,9453.695370733622,4131.067753834207,3728.14556416882,5399.429625315473,7486.459967320261,1779.9648567319794,0.12682393193244934,847.9984176096881,0.01548706367611885,0.013004508800804615,2114.6963728070623,1770.2598533428666,0.03095162659883499,0.01965360902249813,0.09525500982999802,0.09624070674180984,0.18059614300727844,0.14508630335330963,0.12514424324035645,0.05377930775284767,0.14681260287761688,0.07803579419851303,5846.341202666077,5865.37189270747,2328.29272274485,1489.322405281371,2992.433275288654,2910.299520504888
G40,Lentilagile,RedEdge,2018-08-03,Sutherland,1,0.3890817901234568,0.5152391975308642,NA,NA,NA,0.8925619834710744,0.8925619834710744,1816.6091820987654,0.6039503812789917,2170.406544372831,0.009195409715175629,0.027008596807718277,3047.776234567901,4440.237977193852,0.041295405477285385,0.05081462115049362,0.2290840893983841,0.27584147453308105,0.40931937098503113,0.596184253692627,0.21890786290168762,0.3400745689868927,-0.031634725630283356,0.17307698726654053,8786.159336419752,8786.159336419752,3073.700810185185,3170.052553296976,5341.415895061728,7046.21677274429,653.6183639576891,0.12489837408065796,619.4964204014742,0.01631048135459423,0.011761912144720554,1543.0484477304103,1308.1283915695794,0.01622309535741806,0.015191773883998394,0.06786435097455978,0.05682792142033577,0.21413825452327728,0.1250656694173813,0.11177293211221695,0.0517287403345108,0.18418869376182556,0.09388090670108795,5274.347495524645,5274.347495524645,1251.9660137120673,1234.90627032762,2964.135468152405,2926.047069673616
