plot_name,trial_name,sensor_type,mission_date,field_name,crop_area_fraction_blue-ndvi-based,crop_area_fraction_excess-green-based,crop_area_fraction_ndvi-based,crop_area_m2_blue-ndvi-based,crop_area_m2_excess-green-based,crop_area_m2_ndvi-based,crop_volume_m3_excess-green-based,foreground,foreground_pre_dsm,ground_dilation_pix_excess-green-based,max_crop_height_m_excess-green-based,mean_blue,mean_blue_ndvi,mean_blue_segmented,mean_crop_height_m_excess-green-based,mean_excess_green,mean_excess_green_segmented,mean_green,mean_green_segmented,mean_luminance,mean_luminance_segmented,mean_ndre,mean_ndre_segmented,mean_ndvi,mean_ndvi_segmented,mean_ndyi,mean_ndyi_segmented,mean_ngrdi,mean_ngrdi_segmented,mean_nir,mean_nir_segmented,mean_red,mean_red_segmented,mean_rededge,mean_rededge_segmented,median_crop_height_m_excess-green-based,median_ground_elevation_m_excess-green-based,sd_crop_height_m_excess-green-based,std_blue,std_blue_ndvi,std_blue_segmented,std_excess_green,std_excess_green_segmented,std_green,std_green_segmented,std_luminance,std_luminance_segmented,std_ndre,std_ndre_segmented,std_ndvi,std_ndvi_segmented,std_ndyi,std_ndyi_segmented,std_ngrdi,std_ngrdi_segmented,std_nir,std_nir_segmented,std_red,std_red_segmented,std_rededge,std_rededge_segmented
G17,Lentilagile,RedEdge,2018-07-09,Sutherland,1,0.3756967670011148,1,2.198281584337652,0.8258872841937445,2.198281584337652,0.281528140573204,1,1,50,0.4461667867366259,2177.4268195572545,0.7443069815635681,2090.168291649004,0.3408796163365563,0.013100038282573223,0.02748744748532772,3974.290492116579,4537.409495548962,0.05098137632012367,0.05083346739411354,0.40627944469451904,0.40627944469451904,0.5694983601570129,0.5694983601570129,0.28753575682640076,0.3714198172092438,-0.007745099253952503,0.15461133420467377,15922.121675426024,15922.121675426024,4054.1321866539256,3381.8711318355236,6591.678929765886,6591.678929765886,0.36000253590407283,514.4195691423027,0.08067408764843546,663.2513571914543,0.08023449033498764,545.6947930862524,0.013161469250917435,0.010425283573567867,1221.0029815521052,1029.3686987386488,0.014673271216452122,0.01193957682698965,0.07092085480690002,0.07092085480690002,0.15107481181621552,0.15107481181621552,0.07614357024431229,0.05064929276704788,0.14535410702228546,0.101218082010746,5885.517993144309,5885.517993144309,1398.1487569402964,1100.196332015386,1981.322521454224,1981.322521454224
G18,Lentilagile,RedEdge,2018-07-09,Sutherland,1,0.35990338164251207,1,2.1738558579894107,0.7823780744937734,2.1738558579894107,0.26827660702131234,0.9857142857142858,0.9857142857142858,50,0.445283455308072,2301.296779388084,0.7300480604171753,2221.938255033557,0.3428989330956097,0.012039867229759693,0.025739219039678574,4113.233977455717,4663.4935123042505,0.05351131409406662,0.05312740057706833,0.3934505879878998,0.3934505879878998,0.5446584820747375,0.5446584820747375,0.2785662114620209,0.3594856560230255,-0.024495093151926994,0.12571607530117035,15799.744444444445,15799.744444444445,4347.105797101449,3731.4093959731545,6725.083252818035,6725.083252818035,0.3646739353424664,514.9683980233942,0.07448508768265737,681.5254106428803,0.08224689960479736,650.4163627685992,0.01206878386437893,0.009495864622294903,1214.9170839768985,1068.846846188302,0.014999550767242908,0.013690445572137833,0.07359562814235687,0.07359562814235687,0.1513533741235733,0.1513533741235733,0.07226288318634033,0.050951626151800156,0.1322900950908661,0.10098104923963547,5676.242974924147,5676.242974924147,1445.7824919706204,1368.6540743095911,1900.7897721219115,1900.7897721219115
G19,Lentilagile,RedEdge,2018-07-09,Sutherland,1,0.38649921507064366,1,2.2306084451913333,0.8621284131963992,2.2306084451913333,0.280301164245943,0.9859154929577465,0.9859154929577465,50,0.43332956113442833,2462.1869701726846,0.7362281084060669,2369.6770917952886,0.32512692999724657,0.013445327058434486,0.027915479615330696,4487.623547880691,5074.705930138099,0.05821049213409424,0.05773036926984787,0.38778921961784363,0.38778921961784363,0.5471872687339783,0.5471872687339783,0.2876098155975342,0.3691630959510803,-0.02473045326769352,0.12101765722036362,17159.33124018838,17159.33124018838,4750.781004709576,4120.852558895207,7472.108320251177,7472.108320251177,0.33770621121561817,515.1659109549437,0.07462169561749983,808.1603389724062,0.08007466793060303,769.1782649060555,0.013775927014648914,0.011235647834837437,1429.3329363375024,1258.018064450879,0.017945561558008194,0.016527162864804268,0.06817656755447388,0.06817656755447388,0.14908334612846375,0.14908334612846375,0.07811078429222107,0.05806775018572807,0.13724622130393982,0.10667125880718231,5915.820415562074,5915.820415562074,1723.8262533921675,1660.5628727078144,2235.9424169413214,2235.9424169413214
G2,Lentilagile,RedEdge,2018-07-09,Sutherland,1,0.32592592592592595,1,2.17385350844769,0.7085152175681361,2.17385350844769,0.21662064046427307,0.9857142857142858,0.9857142857142858,50,0.43339922586233115,2260.615619967794,0.7286175489425659,2095.0335968379445,0.3057388678365842,0.012058381922543049,0.02802230976521969,4078.197584541063,4639.006422924901,0.05314274877309799,0.051825933158397675,0.38985511660575867,0.38985511660575867,0.5404824614524841,0.5404824614524841,0.2810744345188141,0.3788797855377197,-0.02377993054687977,0.14885655045509338,15521.998872785829,15521.998872785829,4315.28727858293,3510.094861660079,6675.892592592592,6675.892592592592,0.3142041548462089,514.9192130067066,0.08160090685274064,623.7914304551784,0.08209092915058136,533.1111107275235,0.01285165548324585,0.010287221521139145,1156.3557055003096,1009.0424375461236,0.014306625351309776,0.012231983244419098,0.06978408247232437,0.06978408247232437,0.1532311588525772,0.1532311588525772,0.07919096201658249,0.05007890984416008,0.13683749735355377,0.09980965405702591,5716.320112606483,5716.320112606483,1422.06474638599,1209.7516404267033,1934.8530712444883,1934.8530712444883
G20,Lentilagile,RedEdge,2018-07-09,Sutherland,1,0.30172684458398746,1,2.2306080717868992,0.6730343350038337,2.2306080717868992,0.1710962019465043,1,1,50,0.39549432244393756,2581.295290423862,0.7313968539237976,2223.846514047867,0.25421615666239333,0.010965914465487003,0.02634599804878235,4637.639246467818,4794.267429760666,0.06205109879374504,0.05423904210329056,0.3835226893424988,0.3835226893424988,0.5222965478897095,0.5222965478897095,0.285432904958725,0.37012773752212524,-0.05187499523162842,0.11329435557126999,17357.909105180534,17357.909105180534,5256.680690737833,3911.5182101977107,7631.075667189953,7631.075667189953,0.2546496246137053,515.3778940091904,0.07371113271109335,705.4134015743372,0.07637759298086166,610.2515873434282,0.011742562986910343,0.009636079892516136,1142.300445800234,1041.7121368881194,0.016318753361701965,0.013315803371369839,0.07058750092983246,0.07058750092983246,0.14832381904125214,0.14832381904125214,0.06662190705537796,0.04938400909304619,0.12468090653419495,0.09519272297620773,4847.869136462494,4847.869136462494,1676.8856557431695,1325.4643679750152,1676.3770321058807,1676.3770321058807
G21,Lentilagile,RedEdge,2018-07-09,Sutherland,1,0.4336507936507937,1,2.205825331037574,0.9565579054594687,2.205825331037574,0.35964735583081187,0.9859154929577465,0.9859154929577465,50,0.5089742511790973,2130.1768253968253,0.7578622102737427,2037.6065153733527,0.3759807469868335,0.014413268305361271,0.027975069358944893,3980.0531746031747,4483.480600292825,0.050510045140981674,0.05002017691731453,0.42399507761001587,0.42399507761001587,0.5920185446739197,0.5920185446739197,0.2985166609287262,0.37764671444892883,0.010338264517486095,0.16657467186450958,17009.8946031746,17009.8946031746,3940.7825396825397,3262.6625183016104,6698.783650793651,6698.783650793651,0.3925596877150497,514.4442944835918,0.09139273920114979,697.4334200477101,0.08734086155891418,570.554701069198,0.013915624469518661,0.010214043781161308,1276.5977786453739,1067.891910491574,0.015715191140770912,0.012564546428620815,0.0828457623720169,0.0828457623720169,0.16662384569644928,0.16662384569644928,0.08126532286405563,0.04855528473854065,0.15678060054779053,0.09880688786506653,6794.858293160321,6794.858293160321,1520.143986500995,1141.1457422228614,2173.468157741638,2173.468157741638
G22,Lentilagile,RedEdge,2018-07-09,Sutherland,1,0.33365185539098585,1,2.19828180183812,0.7334608018555282,2.19828180183812,0.27637143437849954,1,1,50,0.4898781463200521,2415.6889632107022,0.7304779291152954,2118.9546539379476,0.3768046413377891,0.01246279664337635,0.02763059362769127,4345.220895046982,4638.27923627685,0.05688026547431946,0.052175890654325485,0.3915117084980011,0.3915117084980011,0.541148841381073,0.541148841381073,0.2877504229545593,0.3794664740562439,-0.019361399114131927,0.1530255377292633,16649.204491161014,16649.204491161014,4641.2540213409775,3536.0620525059667,7118.73403408186,7118.73403408186,0.39869637235460686,514.9641078479701,0.07916928084120775,789.6892971946011,0.08898084610700607,727.8413563054163,0.012385348789393902,0.009785125963389874,1261.5549273124436,1203.7723993057011,0.017400313168764114,0.015720102936029434,0.08121150732040405,0.08121150732040405,0.16453787684440613,0.16453787684440613,0.074727363884449,0.050689030438661575,0.13922132551670074,0.10168253630399704,6047.736862027196,6047.736862027196,1739.7453879646905,1542.286391553761,2053.4414505178943,2053.4414505178943
