plot_name,trial_name,sensor_type,mission_date,field_name,crop_area_fraction_blue-ndvi-based,crop_area_fraction_excess-green-based,crop_area_fraction_ndvi-based,crop_area_m2_blue-ndvi-based,crop_area_m2_excess-green-based,crop_area_m2_ndvi-based,crop_volume_m3_excess-green-based,crop_volume_m3_ndvi-based,foreground,foreground_pre_dsm,ground_dilation_pix_excess-green-based,ground_dilation_pix_ndvi-based,max_crop_height_m_excess-green-based,max_crop_height_m_ndvi-based,mean_blue,mean_blue_ndvi,mean_blue_segmented,mean_crop_height_m_excess-green-based,mean_crop_height_m_ndvi-based,mean_excess_green,mean_excess_green_segmented,mean_green,mean_green_segmented,mean_luminance,mean_luminance_segmented,mean_ndre,mean_ndre_segmented,mean_ndvi,mean_ndvi_segmented,mean_ndyi,mean_ndyi_segmented,mean_ngrdi,mean_ngrdi_segmented,mean_nir,mean_nir_segmented,mean_red,mean_red_segmented,mean_rededge,mean_rededge_segmented,median_crop_height_m_excess-green-based,median_crop_height_m_ndvi-based,median_ground_elevation_m_excess-green-based,median_ground_elevation_m_ndvi-based,sd_crop_height_m_excess-green-based,sd_crop_height_m_ndvi-based,std_blue,std_blue_ndvi,std_blue_segmented,std_excess_green,std_excess_green_segmented,std_green,std_green_segmented,std_luminance,std_luminance_segmented,std_ndre,std_ndre_segmented,std_ndvi,std_ndvi_segmented,std_ndyi,std_ndyi_segmented,std_ngrdi,std_ngrdi_segmented,std_nir,std_nir_segmented,std_red,std_red_segmented,std_rededge,std_rededge_segmented
G55,Lentilagile,RedEdge,2018-07-06,Sutherland,1,0.32165706973768393,0.364043506078055,2.229559196746104,0.7171534780320561,0.8116565469920237,0.18433422299838703,0.20603691180217631,0.9814756671899529,0.9814756671899529,50,50,0.4172324325985528,0.41779891326359575,2063.752559181062,0.5351033210754395,1738.9890601690702,0.2570359464813855,0.2538474094316658,0.003277270356193185,0.015272323973476887,2950.922424824056,3087.1884634510193,0.04341400787234306,0.037004172801971436,0.20263226330280304,0.293899804353714,0.3388124704360962,0.585701048374176,0.17860296368598938,0.2802644670009613,-0.059381239116191864,0.122030109167099,7229.002559181062,7229.002559181062,3408.5404670505436,2433.644455494779,4677.823896353167,5112.423989455185,0.24935754771576057,0.2413932910768608,515.2675180305525,515.2669621727395,0.07849067261622396,0.07868585381442647,500.24517025128125,0.12893608212471008,419.1247242053856,0.00920129008591175,0.0063471319153904915,641.4592687788099,677.2285426954834,0.010276214219629765,0.008389363996684551,0.0806369036436081,0.05791637301445007,0.2023855447769165,0.11603926867246628,0.0779678225517273,0.04634662717580795,0.13672713935375214,0.08504407107830048,2380.074292644901,2380.074292644901,1024.945811088996,684.7606596521877,1051.8554855252712,1317.9911712627058
G56,Lentilagile,RedEdge,2018-07-06,Sutherland,1,0.2874825932229615,0.3261643199752437,2.2872856174614475,0.6575548007493996,0.7460309580084684,0.1911068543085415,0.21420206090032973,0.9756944444444444,0.9756944444444444,50,50,0.43275621087991567,0.4331973444158166,2419.1058332043945,0.5275682210922241,1975.654467168999,0.29063258923931745,0.2871222147029162,0.0020786256063729525,0.016787830740213394,3435.917530558564,3525.1485468245423,0.051880136132240295,0.04232485592365265,0.19247080385684967,0.2926197946071625,0.3102630376815796,0.5773296356201172,0.17543086409568787,0.282639741897583,-0.08489558845758438,0.10596708208322525,8203.634070864924,8203.634070864924,4180.283769147455,2874.2615715823467,5448.362060962401,5849.071631878558,0.30928980609530754,0.29606228921295497,515.4387196513924,515.4381347993599,0.07746326359796618,0.07804689575573376,606.3933877271954,0.12611308693885803,464.5507686651079,0.01032902393490076,0.007094970438629389,760.9731803368521,740.6520899179492,0.012931802310049534,0.009515250101685524,0.0808638408780098,0.05625816434621811,0.2004891186952591,0.11444718390703201,0.07620922476053238,0.0457698330283165,0.13265232741832733,0.08539848774671555,2499.8958771935204,2499.8958771935204,1276.375733385509,806.7304191954253,1151.9544547764083,1448.461957985212
G57,Lentilagile,RedEdge,2018-07-06,Sutherland,1,0.2928559909691985,0.3613933236574746,2.1972480052337,0.6434772419778099,0.7940707595111629,0.1335135628667426,0.1643100850706233,0.9985507246376811,0.9985507246376811,50,50,0.3155977697235812,0.3159318159442819,1985.4260603128528,0.5191729068756104,1648.3909691629956,0.207487622182832,0.2069212133837721,0.0023469782900065184,0.013390510343015194,2783.136429608128,2851.2125550660794,0.04141036048531532,0.03451365604996681,0.18789245188236237,0.2727450728416443,0.32021552324295044,0.5562080144882202,0.1704307645559311,0.2676079273223877,-0.06759731471538544,0.1102125346660614,6520.102080309627,6520.102080309627,3273.228350266086,2298.939977973568,4384.208353491373,4616.116465863453,0.21138042902475718,0.20803980696314284,514.6540060567106,514.6537097730389,0.05511241804713153,0.054995689662920795,463.42350188335456,0.1235424354672432,365.95021327614785,0.00797472894191742,0.005666408687829971,552.033071716793,589.7578676758302,0.009598051197826862,0.0074290013872087,0.07362652570009232,0.04975663125514984,0.1921522170305252,0.10878762602806091,0.0702865868806839,0.04242917150259018,0.12669095396995544,0.08279247581958771,1819.5127992687094,1819.5127992687094,947.2436776512099,605.8157261780029,842.1708390288236,1140.2931065538658
G58,Lentilagile,RedEdge,2018-07-06,Sutherland,1,0.34095238095238095,0.4061904761904762,2.2295600946136167,0.7601738227349284,0.9056260765263882,0.19419279299731573,0.22714256212185394,0.9859154929577465,0.9859154929577465,50,50,0.3437411620079729,0.3442335689126139,2217.086984126984,0.5336453914642334,1888.0041899441342,0.2554584059454393,0.2508127449168426,0.0034380804281681776,0.014947127550840378,3174.155714285714,3273.0940409683426,0.046575020998716354,0.039626941084861755,0.1963278204202652,0.2728666365146637,0.3350062668323517,0.5478059649467468,0.17866037786006927,0.26859167218208313,-0.06221166253089905,0.10013985633850098,7591.578571428571,7591.578571428571,3680.595238095238,2699.0637802607075,5025.043968253968,5305.167252833138,0.2681437152842818,0.2630500759598817,515.0823560672138,515.0818310534128,0.059395648899930945,0.0597422618205031,583.0674093639028,0.12294463068246841,379.5671349645546,0.009210777468979359,0.006040296982973814,740.1122103088824,610.4721327481453,0.012193672358989716,0.007688102778047323,0.075711190700531,0.0495210662484169,0.19358398020267487,0.11146742850542068,0.07272566854953766,0.04219697043299675,0.12942540645599365,0.08210701495409012,2203.2740753542485,2203.2740753542485,1175.3053453881503,674.7810915676969,1104.519678040144,1232.7410446495455
G59,Lentilagile,RedEdge,2018-07-06,Sutherland,1,0.38751013787510136,0.4548256285482563,2.1972472701345964,0.8514555925955475,0.9993643707149081,0.3213338484704133,0.37441513401316967,0.9927536231884058,0.9927536231884058,50,50,0.5106235977572169,0.511053420560529,2003.483698296837,0.5622251033782959,1716.1054834658853,0.37739354966343036,0.37465327460626496,0.004790435545146465,0.01562543585896492,2941.3490673154906,3067.608204269569,0.042218439280986786,0.03666911646723747,0.2232629656791687,0.30878162384033203,0.3807838261127472,0.5978975892066956,0.19032225012779236,0.28184962272644043,-0.036313142627477646,0.12992314994335175,7691.593349553934,7691.593349553934,3251.3320356853205,2371.084972791963,4743.347283049473,5087.67332382311,0.40360663643059524,0.40128416826155444,515.2887920224282,515.2883468182214,0.0815021386111822,0.081957954623404,523.674810347961,0.13803258538246155,391.1326895522834,0.009733629412949085,0.0066683124750852585,699.182422421167,683.5217177126457,0.01092610601335764,0.008213900029659271,0.09213882684707642,0.06373195350170135,0.21727170050144196,0.12237794697284698,0.08135146647691727,0.045389361679553986,0.14556431770324707,0.08583657443523407,2654.3047481307194,2654.3047481307194,1084.6891732877584,639.4563938175859,1123.8770579731038,1352.116465690714
G6,Lentilagile,RedEdge,2018-07-06,Sutherland,1,0.2781404234994428,0.32876930425091544,2.221928166186026,0.6180080411283215,0.7305017772924922,0.1209560728622538,0.1408356958398198,0.9753105590062112,0.9753105590062112,50,50,0.3032375600959085,0.3034579774747499,2212.897627766279,0.5166435241699219,1789.4859759587864,0.19571925414015576,0.19279309129377972,0.0022950093261897564,0.015703624114394188,3079.372233720745,3168.89811104751,0.04617636650800705,0.03798214718699455,0.18994027376174927,0.2749072015285492,0.3162432312965393,0.5663318634033203,0.16706809401512146,0.27853456139564514,-0.07172279804944992,0.12295563519001007,7213.45932176405,7213.45932176405,3645.039961789524,2490.0360618202635,4841.623945231651,5205.167070217918,0.198276468610743,0.1945534379970013,514.998872579565,514.9986479715686,0.058531723775042496,0.05880126972846855,598.5650602702417,0.12249704450368881,411.49628846976367,0.009184179827570915,0.006331129465252161,713.6806313601761,669.5630600571628,0.011903162114322186,0.008218895643949509,0.07012921571731567,0.05019925907254219,0.18951919674873352,0.11402735114097595,0.07636497169733047,0.04574565961956978,0.1322789043188095,0.08649048209190369,2168.216725662047,2168.216725662047,1133.5942032752928,667.8798905589214,1125.0568978347226,1387.4425273720947
G60,Lentilagile,RedEdge,2018-07-06,Sutherland,1,0.29435614661044435,0.36555303276029844,2.2045082099592594,0.648910541854696,0.805864661895584,0.15997127547055454,0.19405591627007382,0.9787301587301588,0.9787301587301588,50,50,0.35462098732773484,0.3552809205152698,2372.780733052222,0.5349202752113342,1866.8771349862259,0.24652284891740175,0.24080459839696713,0.0024072008673101664,0.016511010006070137,3385.7674343172234,3364.941046831956,0.05082758516073227,0.04017234966158867,0.19471289217472076,0.29390621185302734,0.3225723206996918,0.5762235522270203,0.1805841475725174,0.28665900230407715,-0.07652948796749115,0.11305522173643112,8131.274732403503,8131.274732403503,4083.2422964644825,2698.9068870523415,5396.042653259812,5449.9263531499555,0.25413650595697845,0.24691002478527935,515.4418618649264,515.4411991086617,0.06919803325820989,0.06761531392919914,662.6175878425714,0.1318703293800354,468.565003296935,0.010143144056200981,0.007110488601028919,793.6994746537584,782.9403006812589,0.013995991088449955,0.009630358777940273,0.08452525734901428,0.05349229648709297,0.20684204995632172,0.11274242401123047,0.07659383863210678,0.04934176057577133,0.13463088870048523,0.08751259744167328,2344.6723690315007,2344.6723690315007,1360.33684546092,789.5295901352431,1140.656573092695,1557.212205671925
