"Plot","Entry","Name","Rep","Row","Column","Expt","Location","Year","Planting.Date","CanopyHeight_d37","CanopyHeight_d50","CanopyHeight_d62","CanopyHeight","Plant.Length","Growth.Habit","DTE","DTF","DTS","DTM","Leaf.Color","Leaf.Size","Plot.Biomass","Straw.Biomass","Seed.Mass","Plants.Harvested","Lodging","Lowest.Pod.Height"
"5785",42,"Crimson AGL","3",8,8,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,16,NA,23,33,1,11,47,64,88,-1,2,678.1,336.6,341.5,57,3,7
"5786",274,"PI 432033 LSP AGL","3",8,7,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,14,NA,18,33.5,2,12,47,61,86,-1,2,607.6,275.2,332.4,57,3,5
"5787",11,"CDC LeMay AGL","3",8,6,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,16,NA,31,41,1,12,50,71,90,-1,2,723.9,374.2,349.7,52,3,11
"5788",307,"PI 472629 LSP AGL","3",8,5,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,19,NA,24,35,2,12,43,61,88,-1,2,560.6,289.8,270.8,51,3,7
"5789",238,"PI 426778 LSP AGL","3",8,4,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,13,NA,23,30.5,2,17,47,70,NA,-1,2,534.3,305.2,229.1,25,3,7
"5790",225,"PI 370481 LSP AGL","3",8,3,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,17,NA,22,35,2,13,50,72,94,-1,2,645.9,378,267.9,47,3,9
"5791",324,"W6 27767 LSP AGL","3",8,2,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,18,NA,16,27.5,2,15,45,63,87,0,1,392.8,222.4,170.4,48,3,8
"5792",43,"DPL 62 AGL","3",8,1,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,13,NA,17,35,2,13,43,63,90,1,1,374.7,218.9,155.8,37,1,5
"5793",201,"PI 312175 LSP AGL","3",9,1,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,21,NA,26,40,1,11,47,71,96,-1,3,887.2,478.5,408.7,46,1,11
"5794",93,"ILL 5883 AGL","3",9,2,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,18,NA,18,37,2,11,42,64,90,-1,2,579.2,340.1,239.1,52,3,4
"5795",177,"PI 298644 LSP AGL","3",9,3,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,21,NA,30,37.5,1,11,50,71,105,-1,3,1030.2,564.8,465.4,55,1,9
"5796",283,"PI 432201 LSP AGL","3",9,4,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,16,NA,25,43.5,2,11,44,67,92,-1,3,789.1,417.8,371.3,53,3,11
"5797",313,"PI 518734 LSP AGL","3",9,5,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,16,NA,25,43,1,12,52,71,96,-1,3,775.2,429.3,345.9,NA,3,11
"5798",82,"ILL 4782 AGL","3",9,6,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,14,NA,13,22,2,11,40,55,80,-1,1,352.8,188.1,164.7,53,5,4
"5799",280,"PI 432184 LSP AGL","3",9,7,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,21,NA,21,43,2,11,42,60,87,-1,2,402.7,208.5,194.2,52,3,4
"5800",113,"ILL 8009 AGL","3",9,8,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,14,NA,15,27.5,2,13,40,61,82,0,2,443.8,221.7,222.1,43,3,3
"5801",67,"ILL 2507 AGL","3",9,9,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,12,NA,13,31,2,13,43,58,83,0,2,481.8,207.2,274.6,49,3,3
"5802",86,"ILL 4956 AGL","3",9,10,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,17,NA,23,40,1,11,46,67,105,-1,3,848.8,521.9,326.9,50,3,10
"5803",214,"PI 339266 LSP AGL","3",9,11,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,23,NA,25,37.5,1,11,40,66,88,-1,3,838.7,503.9,334.8,63,3,7
"5804",29,"CN 105732 AGL","3",9,12,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,21,NA,26,37.5,1,11,44,67,88,-1,3,790.5,442.4,348.1,64,3,8
"5805",277,"PI 432124 LSP AGL","3",9,13,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,16,NA,17,22,2,11,42,58,83,0,2,520.9,179.9,341,61,1,7
"5806",105,"ILL 7663 AGL","3",9,14,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,17,NA,15,28.5,2,12,41,60,89,1,2,346.3,208,138.3,53,3,5
"5807",184,"PI 299121 LSP AGL","3",9,15,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,20,NA,20,36.5,1,12,42,64,90,0,2,499.5,251.7,247.8,57,3,8
"5808",149,"PI 211052 LSP AGL","3",9,16,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,18,NA,20,32.5,2,13,43,61,87,-1,2,415,193.9,221.1,48,3,8
"5809",79,"ILL 4665 AGL","3",9,17,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,20,NA,26,36.5,1,11,44,64,88,-1,3,561.7,311.8,249.9,55,3,10
"5810",80,"ILL 4671 AGL","3",9,18,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,22,NA,26,33.5,2,11,44,66,89,-1,3,627.6,364.9,262.7,57,3,8
"5811",182,"PI 299116 LSP AGL","3",10,18,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,18,NA,23,28,2,12,43,61,83,-1,1,432.4,249.3,183.1,53,3,10
"5812",132,"PI 175754 LSP AGL","3",10,17,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,15,NA,19,28,2,12,43,64,88,-1,2,680.8,371.4,309.4,51,3,7
"5813",293,"PI 468902 LSP AGL","3",10,16,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,22,NA,34,41.5,2,11,43,64,88,-1,3,696.6,384.2,312.4,48,3,12
"5814",263,"PI 431863 LSP AGL","3",10,15,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,13,NA,14,29.5,2,12,47,64,85,-1,2,487.8,305.9,181.9,59,5,7
"5815",35,"CN 105863 AGL","3",10,14,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,19,NA,23,36.5,2,12,44,66,90,-1,2,553.1,275.5,277.6,46,5,11
"5816",302,"PI 472561 LSP AGL","3",10,13,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,14,NA,12,27.5,2,12,43,60,82,0,1,380.6,186.7,193.9,39,3,4
"5817",124,"ILL 9997 AGL","3",10,12,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,18,NA,14,29.5,2,13,42,62,88,1,2,403.7,228.6,175.1,45,3,7
"5818",157,"PI 251248 LSP AGL","3",10,11,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,13,NA,13,21,2,13,37,60,79,-1,1,290.4,172.1,118.3,27,5,2
"5819",275,"PI 432085 LSP AGL","3",10,10,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,22,NA,23,34.5,1,12,42,60,85,-1,2,589.9,362,227.9,53,3,3
"5820",66,"PI 431893 LSP AGL","3",10,9,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,20,NA,29,44.5,1,13,46,64,92,-1,2,764,455.1,308.9,37,3,12
"5821",267,"PI 431923 LSP AGL","3",10,8,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,18,NA,24,39,1,13,47,64,85,-1,2,675.8,308.4,367.4,58,5,7
"5822",102,"ILL 6853 AGL","3",10,7,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,23,NA,18,38,2,12,45,64,92,-1,2,732.4,369.1,363.3,60,5,13
"5823",65,"ILL 2194 AGL","3",10,6,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,18,NA,18,30,2,12,43,63,88,0,2,541.1,309.5,231.6,46,3,7
"5824",204,"PI 320937 LSP AGL","3",10,5,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,17,NA,40,42.5,1,12,50,75,103,-1,3,913.7,516.2,397.5,40,1,17
"5825",54,"ILL 11547 AGL","3",10,4,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,20,NA,24,36,2,12,43,62,90,0,2,575.6,335,240.6,45,1,6
"5826",91,"ILL 5639 AGL","3",10,3,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,18,NA,21,33,2,13,44,64,97,-1,2,495.7,253.5,242.2,45,3,8
"5827",146,"PI 207492 LSP AGL","3",10,2,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,16,NA,22,38.5,2,13,47,63,92,-1,2,767.7,346.4,421.3,40,3,7
"5828",208,"PI 320946 LSP AGL","3",10,1,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,19,NA,16,35.5,2,12,43,60,81,-1,2,363.2,203.1,160.1,51,5,10
"5829",158,"PI 273664 LSP AGL","3",11,1,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,16,NA,19,32.5,2,12,44,61,87,-1,1,410.6,195.3,215.3,38,1,8
"5830",273,"PI 432028 LSP AGL","3",11,2,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,14,NA,16,37,2,12,47,68,92,-1,2,524.4,268.1,256.3,45,3,7
"5831",300,"PI 472488 LSP AGL","3",11,3,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,14,NA,18,28,2,13,43,62,81,0,1,361.9,175.8,186.1,38,3,4
"5832",215,"PI 339283 LSP AGL","3",11,4,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,13,NA,20,32.5,2,13,47,67,94,-1,2,484.5,209,275.5,30,3,9
"5833",151,"PI 212610 LSP AGL","3",11,5,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,13,NA,20,39.5,2,13,47,63,90,-1,2,438.5,215.3,223.2,25,3,6
"5834",299,"PI 472416 LSP AGL","3",11,6,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,12,NA,16,27,3,14,44,62,84,0,1,303.8,145.8,158,31,3,4
"5835",197,"PI 300250 LSP AGL","3",11,7,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,12,NA,18,32,2,15,46,63,93,-1,2,348.8,141.1,207.7,NA,3,7
"5836",169,"PI 297772 LSP AGL","3",11,8,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,14,NA,17,32.5,2,13,48,64,92,-1,2,371.5,163.5,208,56,3,8
"5837",319,"Shasta AGL","3",11,9,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,15,NA,29,44.5,1,14,46,71,108,-1,3,961.4,565.7,395.7,39,1,10
"5838",125,"ILWL 118 AGL","3",11,10,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,13,NA,20,34,2,15,46,61,89,0,2,430.5,195.8,234.7,39,3,7
"5839",63,"ILL 1983 AGL","3",11,11,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,14,NA,24,32,2,13,42,62,87,-1,2,531,273.2,257.8,37,3,5
"5840",262,"PI 431824 LSP AGL","3",11,12,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,18,NA,24,39,2,12,42,63,104,-1,3,663.9,355,308.9,55,3,5
"5841",295,"PI 472205 LSP AGL","3",11,13,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,14,NA,21,27,3,13,43,63,83,0,2,275,138.9,136.1,44,3,6
"5842",237,"PI 426202 LSP AGL","3",11,14,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,16,NA,22,37.5,3,12,46,63,88,-1,2,502.4,248.5,253.9,39,3,5
"5843",172,"PI 298023 LSP AGL","3",11,15,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,17,NA,22,28,2,12,43,66,85,-1,2,552.5,322.8,229.7,52,1,4
"5844",233,"PI 420818 AGL","3",11,16,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,20,NA,27,37.5,2,12,47,71,96,-1,3,598.4,377.6,220.8,59,3,7
"5845",16,"CDC Redwing AGL","3",11,17,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,18,NA,31,38.5,1,12,47,68,92,-1,2,693.2,383.8,309.4,51,3,13
"5846",150,"PI 212100 LSP AGL","3",11,18,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,14,NA,16,35.5,1,12,47,63,85,-1,2,488.8,188.7,300.1,45,3,7
"5847",229,"PI 374120 LSP AGL","3",12,18,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,14,NA,24,36.5,1,12,50,70,97,-1,2,642.6,364.8,277.8,45,3,11
"5848",136,"PI 178971 LSP AGL","3",12,17,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,11,NA,16,30.5,2,13,47,64,89,-1,2,425,213,212,23,3,8
"5849",284,"PI 432212 LSP AGL","3",12,16,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,12,NA,16,27,2,13,44,63,86,-1,1,393.9,145.7,248.2,51,3,9
"5850",104,"ILL 7558 AGL","3",12,15,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,14,NA,14,30.5,2,13,43,65,92,-1,2,387,179.8,207.2,41,3,8
"5851",252,"PI 431705 LSP AGL","3",12,14,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,15,NA,14,26.5,2,12,43,62,88,-1,1,455.1,179.8,275.3,55,3,8
"5852",34,"CN 105862 AGL","3",12,13,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,16,NA,21,33.5,2,11,47,68,90,-1,2,591.1,306.3,284.8,54,3,10
"5853",112,"ILL 8007 AGL","3",12,12,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,18,NA,11,25.5,2,12,43,57,79,-1,1,209.1,93.5,115.6,39,5,4
"5854",59,"ILL 11558 AGL","3",12,11,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,18,NA,16,31.5,2,12,43,64,89,0,2,410.4,266.5,143.9,39,5,5
"5855",140,"PI 181886 LSP AGL","3",12,10,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,19,NA,26,34.5,2,12,47,64,94,-1,2,573.6,281.3,292.3,49,3,9
"5856",287,"PI 432271 LSP AGL","3",12,9,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,17,NA,27,45.5,1,12,49,71,94,-1,3,559.4,356.8,202.6,31,3,9
"5857",141,"PI 182217 LSP AGL","3",12,8,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,15,NA,24,33,1,13,43,64,90,-1,2,753.2,430.8,322.4,56,3,7
"5858",64,"ILL 213 AGL","3",12,7,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,14,NA,14,29.5,2,12,43,60,85,0,1,382,163,219,35,5,7
"5859",73,"ILL 358 AGL","3",12,6,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,21,NA,28,44,1,13,43,66,88,-1,2,733.7,441.6,292.1,46,3,11
"5860",321,"W6 27760 LSP AGL","3",12,5,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,17,NA,21,36,1,12,45,63,85,-1,2,588.3,284.5,303.8,44,3,8
"5861",7,"CDC Gold AGL","3",12,4,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,20,NA,30,46.5,1,13,47,71,105,-1,3,918.7,557.3,361.4,39,1,14
"5862",298,"PI 472380 LSP AGL","3",12,3,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,13,NA,13,29,3,13,43,62,85,0,1,266.7,158.7,108,31,3,3
"5863",163,"PI 289079 LSP AGL","3",12,2,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,15,NA,22,41,1,12,47,71,92,-1,2,657.2,351,306.2,46,3,9
"5864",317,"PI 643451 AGL","3",12,1,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,13,NA,13,34.5,2,13,43,60,82,0,1,333.5,160.1,173.4,42,5,8
"5865",106,"ILL 7668 AGL","3",13,1,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,17,NA,16,33,2,12,43,60,84,0,1,446.3,225.6,220.7,50,5,5
"5866",33,"CN 105791 AGL","3",13,2,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,15,NA,17,36.5,2,12,42,64,93,-1,2,586.5,353.2,233.3,48,3,5
"5867",205,"CN 105866 AGL","3",13,3,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,24,NA,26,40.5,1,11,43,61,94,-1,3,925,483.8,441.2,58,3,11
"5868",271,"PI 432002 LSP AGL","3",13,4,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,17,NA,23,42.5,1,11,44,64,92,-1,3,686.7,364.1,322.6,60,3,10
"5869",121,"ILL 9932 AGL","3",13,5,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,13,NA,9,27.5,2,12,41,58,NA,0,1,431.1,214.7,216.4,46,5,6
"5870",231,"PI 379368 LSP AGL","3",13,6,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,19,NA,24,34.5,2,11,43,66,NA,-1,2,457.3,235.6,221.7,52,3,10
"5871",83,"ILL 4783 AGL","3",13,7,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,17,NA,29,43.5,1,11,46,71,92,-1,3,804.6,427.4,377.2,61,3,13
"5872",258,"PI 431739 LSP AGL","3",13,8,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,20,NA,19,31.5,2,11,NA,63,90,0,2,577.5,249.1,328.4,56,3,8
"5873",246,"PI 431636 LSP AGL","3",13,9,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,21,NA,16,43.5,1,11,43,70,95,0,2,819.8,474.5,345.3,58,3,6
"5874",198,"PI 302398 LSP AGL","3",13,10,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,18,NA,14,30.5,2,12,43,62,88,0,2,492.9,224.7,268.2,54,3,3
"5875",242,"PI 431618 LSP AGL","3",13,11,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,19,NA,27,37,1,12,43,67,90,-1,3,652.4,357.6,294.8,56,3,8
"5876",291,"PI 468900 LSP AGL","3",13,12,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,24,NA,18,35.5,2,12,46,64,86,-1,2,500.1,236.6,263.5,53,5,9
"5877",294,"PI 472136 LSP AGL","3",13,13,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,14,NA,12,32.5,2,14,43,60,83,0,1,412.1,196.3,215.8,47,5,4
"5878",195,"PI 299366 LSP AGL","3",13,14,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,18,NA,20,36.5,2,12,47,70,95,-1,3,674.9,347.7,327.2,51,3,9
"5879",8,"CDC Imax AGL","3",13,15,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,21,NA,26,38.5,1,12,46,69,92,-1,2,671.8,340.6,331.2,40,3,11
"5880",27,"CN 105605 AGL","3",13,16,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,17,NA,17,32.5,2,12,42,64,84,0,2,482,205.3,276.7,58,3,7
"5881",171,"PI 297787 LSP AGL","3",13,17,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,18,NA,20,36.5,2,12,43,60,88,-1,2,642,364,278,53,3,8
"5882",3,"3156-11 AGL","3",13,18,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,16,NA,37,41.5,1,11,53,76,102,-1,3,1031.2,598.5,432.7,47,1,12
"5883",133,"PI 177430 LSP AGL","3",14,18,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,17,NA,21,35,2,12,47,65,90,-1,2,559.9,304.2,255.7,47,3,9
"5884",32,"CN 105789 AGL","3",14,17,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,14,NA,9,19.5,2,12,40,55,76,-1,1,244.8,153.9,90.9,43,5,3
"5885",282,"PI 432190 LSP AGL","3",14,16,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,21,NA,28,33.5,1,11,46,71,90,-1,3,543.2,290.5,252.7,58,3,13
"5886",209,"PI 320952 LSP AGL","3",14,15,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,16,NA,37,42.5,1,12,55,74,98,-1,3,866.8,496.5,370.3,49,1,8
"5887",239,"PI 426784 LSP AGL","3",14,14,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,13,NA,12,27,2,17,42,61,84,0,1,307.9,143,164.9,35,5,5
"5888",139,"PI 181771 LSP AGL","3",14,13,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,15,NA,12,29,1,12,47,63,83,-1,2,600.4,274.2,326.2,62,3,7
"5889",38,"CN 105895 AGL","3",14,12,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,19,NA,15,28,2,12,41,58,76,-1,1,283.3,161,122.3,49,3,6
"5890",310,"PI 490289 LSP AGL","3",14,11,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,17,NA,19,34.5,2,12,43,63,86,-1,2,497.5,281.1,216.4,44,3,10
"5891",18,"CDC Rosebud AGL","3",14,10,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,14,NA,28,38,1,12,47,72,93,-1,3,714.5,375.3,339.2,45,1,9
"5892",236,"PI 420929 LSP AGL","3",14,9,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,14,NA,16,28,2,12,45,62,87,0,1,473.5,242,231.5,52,3,9
"5893",129,"LIRL-22-46 AGL","3",14,8,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,18,NA,18,24,2,13,43,62,86,0,1,417.9,195.1,222.8,50,3,4
"5894",28,"CN 105715 AGL","3",14,7,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,21,NA,21,30,2,13,42,61,84,0,2,448.2,200.1,248.1,57,1,3
"5895",14,"CDC Red Rider AGL","3",14,6,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,17,NA,32,43.5,1,13,48,71,102,-1,2,980.3,484.6,495.7,50,1,14
"5896",227,"PI 374117 LSP AGL","3",14,5,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,18,NA,19,26,2,12,43,63,90,0,2,590.3,264.9,325.4,55,3,4
"5897",308,"PI 477921 LSP AGL","3",14,4,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,15,NA,32,41.5,1,11,42,70,89,-1,3,744.8,402.6,342.2,59,3,14
"5898",245,"PI 431633 LSP AGL","3",14,3,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,22,NA,22,39,1,11,43,69,93,-1,2,782.6,451.6,331,42,3,10
"5899",25,"CDC Vantage AGL","3",14,2,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,24,NA,34,44,1,13,47,71,96,-1,3,781.9,427.7,354.2,32,1,13
"5900",304,"PI 472588 LSP AGL","3",14,1,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,13,NA,17,25,1,12,45,64,89,0,2,535.2,275.1,260.1,53,3,4
"5901",22,"CDC Ruby AGL","3",15,1,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,12,NA,28,37.5,1,12,47,70,92,-1,3,1045.6,545.3,500.3,49,3,6
"5902",111,"ILL 7979 AGL","3",15,2,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,14,NA,17,29.5,3,14,43,60,88,0,1,340.5,180.1,160.4,26,3,3
"5903",159,"PI 280686 AGL","3",15,3,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,15,NA,13,34.5,2,13,42,62,88,-1,3,782,465.3,316.7,38,3,6
"5904",120,"ILL 9888 AGL","3",15,4,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,20,NA,18,24.5,2,13,42,59,79,-1,1,462.6,231.3,231.3,54,3,4
"5905",244,"PI 431630 LSP AGL","3",15,5,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,17,NA,21,38,1,12,44,64,92,-1,3,686.4,323.5,362.9,51,3,8
"5906",297,"PI 472327 LSP AGL","3",15,6,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,14,NA,17,26.5,3,12,43,60,83,0,2,357.8,194.6,163.2,39,5,4
"5907",257,"PI 431731 LSP AGL","3",15,7,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,15,NA,14,29.5,2,12,46,63,88,-1,2,746,326.8,419.2,57,3,3
"5908",114,"ILL 8010 AGL","3",15,8,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,10,NA,16,33,2,12,42,61,84,0,2,459,252.6,206.4,49,3,2
"5909",226,"PI 374116 LSP AGL","3",15,9,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,15,NA,15,36.5,2,12,47,67,87,-1,2,518.5,252.5,266,47,3,13
"5910",117,"ILL 8595 AGL","3",15,10,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,16,NA,26,39,1,12,43,65,89,-1,3,741.1,394.8,346.3,43,1,9
"5911",260,"PI 431756 LSP AGL","3",15,11,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,16,NA,17,26,2,12,46,60,83,-1,2,461.3,173.5,287.8,64,3,8
"5912",240,"PI 426797 LSP AGL","3",15,12,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,16,NA,14,30.5,2,12,42,60,83,0,1,363.6,195.5,168.1,51,3,3
"5913",312,"PI 518733 LSP AGL","3",15,13,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,18,NA,26,39,1,12,55,71,93,-1,3,723.4,386.4,337,40,3,10
"5914",217,"PI 339289 LSP AGL","3",15,14,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,19,NA,22,33,1,12,42,68,90,0,2,509,316,193,50,3,8
"5915",143,"PI 193547 LSP AGL","3",15,15,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,12,NA,18,29,2,13,50,63,87,-1,2,475.3,247.4,227.9,45,3,6
"5916",26,"CN 105604 AGL","3",15,16,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,14,NA,17,30,2,13,43,61,83,0,2,420.3,195.9,224.4,57,5,7
"5917",147,"PI 518731 LSP AGL","3",15,17,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,15,NA,22,32.5,2,13,47,64,85,-1,2,654.2,320,334.2,50,1,8
"5918",96,"ILL 6002 AGL","3",15,18,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,18,NA,26,36,2,12,43,67,87,-1,3,469.3,280.5,188.8,44,3,8
"5919",187,"PI 299164 LSP AGL","3",16,18,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,20,NA,21,30.5,2,12,46,68,89,0,2,492.1,277.7,214.4,NA,3,11
"5920",51,"IG 858 AGL","3",16,17,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,22,NA,19,36.5,1,13,44,63,91,0,2,733.9,385.8,348.1,38,3,9
"5921",78,"ILL 4609 AGL","3",16,16,"Sutherland 2018","Sutherland, Canada",2018,2018-05-09,NA,15,NA,22,27,2,14,47,61,92,0,2,652.1,340.4,311.7,43,1,6
