"Entry","Name","Origin","Region","SeedMass1000.2018","SeedMass1000.2017","SeedMass1000.2016"
145,"PI 193550 AGL","Ethiopia","Africa",27.7663772691397,27.9,26.7
146,"PI 207492 LSP AGL","Afghanistan","Asia",27.6917057902973,22.9,25.9
147,"PI 518731 LSP AGL","Brazil","Americas",34.0133460438513,32,28.3
148,"PI 209858 LSP AGL","Greece","Europe",38.6089238845144,22.2,34.2
149,"PI 211052 LSP AGL","Afghanistan","Asia",25.2452583387835,21.1,23.8
150,"PI 212100 LSP AGL","Afghanistan","Asia",27.5443383356071,24.5,27.4
151,"PI 212610 LSP AGL","Afghanistan","Asia",27.28,19.9,22.8
152,"PI 217949 LSP AGL","Pakistan","Asia",23.0480949406621,20.9,22.3
153,"PI 238758 LSP AGL","Belgium","Europe",64.5982142857143,55.9,44.1
154,"PI 244046 AGL","Yemen","Asia",32.7288578901482,32.9,32.3
155,"PI 250156 LSP AGL","Pakistan","Asia",27.1260683760684,25.6,24
156,"PI 250158 LSP AGL","Pakistan","Asia",23.7626628075253,21.8,22.9
157,"PI 251248 LSP AGL","Egypt","Africa",31.7980022197558,33.6,33
158,"PI 273664 LSP AGL","Ethiopia","Africa",27.8790697674419,28.6,22.8
159,"PI 280686 AGL","Egypt","Africa",36.9102990033223,34.3,38.3
160,"PI 283604 LSP AGL","Portugal","Europe",69.0576923076923,55.8,54.3
161,"PI 289066 AGL","Czech Republic","Europe",40.0125313283208,24.8,32.5
162,"PI 289073 LSP AGL","Hungary","Europe",31.8814139110604,27.3,32.8
163,"PI 289079 LSP AGL","Egypt","Africa",33.5398230088496,29.8,28.4
164,"PI 290716 LSP AGL","Unknown",NA,33.9245283018868,34.7,30.4
165,"PI 297285 LSP AGL","Argentina","Americas",51.2481857764877,44.3,40.6
166,"PI 297287 AGL","Argentina","Americas",65.1449275362319,65.9,61.1
167,"PI 297754 LSP AGL","Greece","Europe",29.8201798201798,23.4,27.3
168,"PI 297767 AGL","Greece","Europe",69.3835616438356,63.7,62.7
169,"PI 297772 LSP AGL","Greece","Europe",37.8145695364238,29.8,29.5
170,"PI 297783 AGL","Ethiopia","Africa",31.1379800853485,28.3,29.4
171,"PI 297787 LSP AGL","Russia","Europe",29.0264650283554,22.3,27
172,"PI 298023 LSP AGL","Turkey","Asia",65.9049360146252,64,50.7
173,"PI 298121 LSP AGL","France","Europe",43.768115942029,41.1,26.7
174,"PI 298122 LSP AGL","France","Europe",34.6125907990315,31,26.9
