"Name","Su17_gc.a.auc.e","Su17_gc.a.auc.l","Su17_gc.a.b","Su17_gc.a.g.b","Su17_gc.a.g.r","Su17_gc.a.k","Su17_gc.a.r","Su17_gc.a.x.d","Su17_gc.a.x.gen","Su17_gc.a.x.max","Su17_gc.a.x.mid","Su17_gc.a.x.min","Su17_gc.h.auc.e","Su17_gc.h.auc.l","Su17_gc.h.b","Su17_gc.h.g.b","Su17_gc.h.g.r","Su17_gc.h.k","Su17_gc.h.r","Su17_gc.h.x.d","Su17_gc.h.x.gen","Su17_gc.h.x.max","Su17_gc.h.x.mid","Su17_gc.h.x.min","Su17_gc.v.auc.e","Su17_gc.v.auc.l","Su17_gc.v.b","Su17_gc.v.g.b","Su17_gc.v.g.r","Su17_gc.v.k","Su17_gc.v.r","Su17_gc.v.x.d","Su17_gc.v.x.gen","Su17_gc.v.x.max","Su17_gc.v.x.mid","Su17_gc.v.x.min"
"X3156.11_AGL",87.6637827848317,84.515693033554,-7.11960083349019,-2.5826018414537,0.0611757621542292,1.74284163011428,0.141640359139088,21.529915296409,4.89873795319321,78,56.470084703591,36.3333333333333,17.578618858705,17.5358058055922,-5.52701776329055,-0.314241351643056,0.0090356198197027,0.342430142169907,0.10605283312331,28.5241418800784,6.56924595550464,82.3333333333333,53.8091914532549,26.3333333333333,25.0344640801812,24.5988013630212,-12.9524688245169,-1.55784116554106,0.0299095339061215,0.569302632292992,0.21504410473089,14.2529251951085,3.25302490636164,76,61.7470748048915,48.3333333333333
"CDC_Asterix_AGL",86.6147921066254,83.8431264795813,-7.92604288118262,-2.58429313016209,0.0629880231721121,1.63148039570026,0.160998117250961,19.4494144092781,4.4826384880246,73.3333333333333,53.8839189240552,35.3333333333333,15.8426341573894,15.4811343191628,-6.10137921482455,-0.336630114971124,0.00878060492007674,0.319458236278258,0.110382628799114,27.2409800271353,6.28125066534363,84,56.7590199728647,30.5,21.2488458914582,20.9439820923352,-13.1956704879552,-1.29726731051304,0.0250605607031126,0.477964477976348,0.217506188963663,14.365170910697,3.20238987307057,76,61.634829089303,48.5
"CDC_Cherie_AGL",75.5979609757783,72.8890642611416,-6.90201459684603,-1.98981594579582,0.0497633263697171,1.4361480247063,0.140014157987618,21.4223829148439,4.96846611945909,75.6666666666667,54.2442837518228,33.6666666666667,17.564717459629,17.2740325651287,-5.57421845762871,-0.312624432459955,0.00896981292967219,0.336717610011846,0.107227899322443,27.6876258939408,6.4774159800472,81.3333333333333,53.6457074393925,26.3333333333333,20.8636560581543,20.4796618355752,-12.4059774605487,-1.1947652121919,0.0235573752982575,0.460534458916751,0.209053678343949,14.5096079786457,3.31852923460551,75,60.4903920213543,47
"CDC_Glamis_AGL",85.6564436713448,82.6401153996402,-7.10063008037215,-2.25822633787691,0.0561266912987512,1.63492704502891,0.143406248352123,21.8627732075308,4.9882946736989,76.6666666666667,54.8038934591359,34,15.9657170990109,15.9699229669268,-5.41274979020774,-0.254465960386855,0.00802589907349959,0.291827186720405,0.111809859624235,27.865542599849,6.3750061562686,78,50.134457400151,23.6666666666667,21.4196305144592,20.9732964841662,-13.0562302035904,-1.21817781944478,0.024491204173751,0.45555626116394,0.223627100485378,13.7079016144712,3.12364869600916,73,59.2920983855288,46.3333333333333
"CDC_Gold_AGL",69.261114631901,66.9139582113643,-7.59248364847058,-2.09024098005824,0.0498997170533486,1.35126658258409,0.149068249100953,20.4768979965474,4.65949356247342,76,55.5231020034526,36,16.8055047001938,16.8128832239032,-5.26706176531476,-0.267107751072032,0.00825425731916568,0.314284883887802,0.105625305310671,28.5458209673696,6.60117170659446,80,51.4541790326304,23.6666666666667,18.2876206653142,18.0116804234324,-14.1774845991067,-1.20293930993661,0.0234262094576232,0.399407701019998,0.239907753987553,12.7115970386878,2.89220552679606,72.6666666666667,59.9550696279788,48.3333333333333
"CDC_Greenstar_AGL",72.5978338419237,69.9854824387467,-7.59473495715069,-2.16955362073531,0.0522923457968978,1.39569495668821,0.150578944103971,19.900594297887,4.60875493228754,75,55.099405702113,36,15.9196161222458,15.9299393695935,-5.25534461632012,-0.25691468739742,0.00778185949153475,0.303896402283642,0.102918479259101,29.0816142661731,6.75674876291011,81.6666666666667,52.5850524004936,24,18.5579604723848,18.2460003850524,-14.0847838828275,-1.19012918183171,0.0231886408649342,0.406032583784022,0.236913998632959,12.7077302710888,2.93427947238685,73,60.2922697289112,48.6666666666667
"CDC_Imax_AGL",66.7881075120469,64.6722777657767,-7.04554608049536,-1.71289786658256,0.0434856115657617,1.26336310724866,0.141566903555223,21.5750584831629,4.96763109971035,75.6666666666667,54.0916081835038,33.6666666666667,16.0543391441802,16.0824538492589,-5.15817371533652,-0.244808540093823,0.00773982417450214,0.298309205658032,0.104114583593988,28.8339619134462,6.68496920419581,80,51.1660380865538,23.3333333333333,16.7034369362526,16.4857072340036,-12.3031385740157,-0.890355670032738,0.0180859820227881,0.358543694425169,0.209531163827164,14.5846677484706,3.33185170523828,74,59.4153322515294,45.6666666666667
"CDC_Impower_AGL",80.946252533456,78.2713345497314,-7.46320456157889,-2.41357417023859,0.0572186512759974,1.59559141428166,0.146567293427858,20.8316293812707,4.77871522872159,77,56.1683706187293,36.6666666666667,17.7741109782457,17.5213655241466,-5.44362346126062,-0.304910264304717,0.00891233338352489,0.339311149073234,0.105283020672264,28.5521011543934,6.62027614990205,82,53.4478988456066,25.6666666666667,23.0021662834213,22.5778166477917,-13.3139961327278,-1.42547012798366,0.0276591554152805,0.509858080952086,0.222351191389586,14.0140202795582,3.11989579866462,75,60.9859797204418,48.3333333333333
"CDC_KR.1_AGL",51.9639475706329,49.6019243449242,-7.71675021810482,-1.6243698378379,0.0376598295610401,1.02141988024322,0.145899356068993,21.238720399856,4.88818688319237,77.3333333333333,56.0946129334773,35.6666666666667,14.6282633050283,14.6072918328861,-5.10209846361298,-0.222415069426026,0.00695002991470994,0.272664162492317,0.102043318236082,29.2314858203623,6.83000420273939,80.3333333333333,51.1018475129711,22.3333333333333,11.811362947114,11.5133615838896,-15.5478370789335,-0.868034013714983,0.0164101526783615,0.261801698218357,0.259381020971244,12.1031040479688,2.71070920096414,72.6666666666667,60.5635626186978,49.6666666666667
"CDC_LeMay_AGL",75.7541428184093,73.1194484592201,-8.38497148947161,-2.41983407902546,0.0574886969430004,1.44844620695016,0.16566574189363,18.8800407225713,4.27367597589691,73.6666666666667,54.7866259440953,37,15.2402951957782,15.0536157823295,-5.59002247474739,-0.267624833552422,0.00781387465493737,0.288650746396829,0.108871892855305,27.5292183062231,6.40254136657269,80.3333333333333,52.8041150271102,26,18.4095786275795,18.1624808918597,-14.1391239782878,-1.2053860044575,0.0235125120711126,0.402283186957507,0.238609271740917,13.1949364454828,2.90700390150317,73.3333333333333,60.1383968878505,48.3333333333333
"CDC_Maxim_AGL",76.8119877200575,74.1919911635212,-7.65939591929357,-2.25876230771829,0.0540160134640889,1.48948532714353,0.150101658655396,20.8034113265386,4.7844415367653,76.3333333333333,55.5299220067948,35.6666666666667,16.9125657962263,16.7118221269745,-5.50423337908304,-0.295713823086785,0.00860002114171969,0.323257997484783,0.106403894906741,28.6063443007831,6.57122151961036,82,53.3936556992169,26,20.8825811060007,20.5204119448472,-13.3699802132841,-1.27260444605104,0.0247680808780532,0.463365978447066,0.222731196783773,13.653568393603,3.14432669387538,74.6666666666667,61.0130982730636,48
"CDC_QG.1_AGL",98.0562065155252,94.4077190210004,-7.29851284095598,-3.01215592252724,0.0708409832682086,1.9280360561954,0.147505006193,20.753741299889,4.7530610174982,76.6666666666667,55.9129253667777,36,16.2842245106399,16.2259277078472,-5.7081673947426,-0.296824775632243,0.0085996969868888,0.30988900325919,0.111758393842762,27.0949747737814,6.2195087643546,79.6666666666667,52.5716918928853,26.6666666666667,25.6020889663145,25.1557403745432,-13.5584530601529,-1.63244879716278,0.0316547148622461,0.566307878876301,0.229196867988763,13.5497194672842,3.02827682982438,74,60.4502805327158,48
"CDC_Red_Rider_AGL",76.6370617724702,73.990274952684,-7.15983464182153,-2.04813920218532,0.0510481315569864,1.4591534078194,0.143974226547513,21.0179467860624,4.85195492970066,75.6666666666667,54.6487198806043,34.3333333333333,17.3976500544449,17.0622674226179,-5.74474477326914,-0.320968489702306,0.00911080774455957,0.330773145314014,0.110680863966814,26.8916451544979,6.27347022094767,80.3333333333333,53.4416881788354,27.3333333333333,20.9807114778869,20.6172134145958,-13.2624589379714,-1.27243407353488,0.0250038819733835,0.458617874107366,0.223458184854137,13.6401100600369,3.10243356821242,74,60.3598899399631,47.6666666666667
"CDC_Redcoat_AGL",79.2060869558172,76.3321969477821,-7.43331223378619,-2.32918014970134,0.0560312071096313,1.52765939732416,0.148334220621412,20.5709308292941,4.71006413114815,75.6666666666667,55.0957358373726,35.6666666666667,17.2539887817204,17.0977011985021,-5.76231081613558,-0.31959190141134,0.00917025209639197,0.327843404215299,0.112320222320474,27.1052105146233,6.19621870502893,80,52.8947894853767,27,21.5691602339784,21.2701368525549,-13.3734467942378,-1.34047395774803,0.0262687728037973,0.473703233837105,0.226307805523302,13.805051510543,3.06545992286249,74,60.194948489457,47.6666666666667
