"Name","It17_gc.a.auc.e","It17_gc.a.auc.l","It17_gc.a.b","It17_gc.a.g.b","It17_gc.a.g.r","It17_gc.a.k","It17_gc.a.r","It17_gc.a.x.d","It17_gc.a.x.gen","It17_gc.a.x.max","It17_gc.a.x.mid","It17_gc.a.x.min","It17_gc.h.auc.e","It17_gc.h.auc.l","It17_gc.h.b","It17_gc.h.g.b","It17_gc.h.g.r","It17_gc.h.k","It17_gc.h.r","It17_gc.h.x.d","It17_gc.h.x.gen","It17_gc.h.x.max","It17_gc.h.x.mid","It17_gc.h.x.min","It17_gc.v.auc.e","It17_gc.v.auc.l","It17_gc.v.b","It17_gc.v.g.b","It17_gc.v.g.r","It17_gc.v.k","It17_gc.v.r","It17_gc.v.x.d","It17_gc.v.x.gen","It17_gc.v.x.max","It17_gc.v.x.mid","It17_gc.v.x.min"
"X3156.11_AGL",177.751895741147,171.269616611559,-10.2531892570019,-4.26507544079701,0.0441147312603351,1.87591532321436,0.0952763044094776,31.778635798307,7.39869021648599,150,118.221364201693,87,32.3089362940689,29.6178545266428,-7.19676464857101,-0.404538385069784,0.00495946453218503,0.302976173235525,0.0655515890261235,45.746225861459,10.7076615165133,158,112.253774138541,67.3333333333333,46.6439227295451,46.0717884300585,-21.1704774850919,-2.58217704791744,0.0227964463998315,0.550233013820761,0.171554115913662,18.6962820013197,4.29128197104045,144.666666666667,125.970384665347,108.333333333333
"CDC_Asterix_AGL",172.291747721041,169.960943220496,-11.3206841935226,-5.22627931272088,0.0493954795730076,2.03250507988632,0.0976215161109952,30.956041220709,7.10036757849065,157.333333333333,126.377292112624,96.6666666666667,29.6392955817282,27.3641549904821,-5.69022825710682,-0.2968357329314,0.00369917179452784,0.311499823578663,0.0478036997739821,62.6038605610267,14.6145980347928,185,122.396139438973,60.6666666666667,44.22765151334,45.179060221955,-20.2270552920672,-2.6734118790934,0.0222648426023971,0.589521791219004,0.153941156677793,19.6443042634407,4.53501469061347,153,133.355695736559,114.666666666667
"CDC_Cherie_AGL",148.496451718293,140.721287218679,-11.7009590659505,-3.80140524077262,0.0397529241147426,1.46700368810479,0.108940911497274,27.5292667318667,6.37037035201417,141.666666666667,114.1373999348,87.6666666666667,32.4556901212037,29.6849773079943,-8.53376446223749,-0.50949136457982,0.00584377309877583,0.306904260840345,0.0765677279677675,40.3607526842897,9.42760127450821,153.666666666667,113.305913982377,73.6666666666667,39.1771848277951,38.1122216986264,-27.9959149873494,-2.79887246541842,0.0245752091775427,0.437042150108958,0.229693193996941,13.485925599575,3.02029487425077,136.333333333333,122.847407733758,110.666666666667
"CDC_Glamis_AGL",138.824208413626,130.6792188699,-10.2392922911242,-2.96335431891869,0.0326604624147444,1.31755775264459,0.0980935541138735,30.6215814131377,7.11698629726732,141.666666666667,111.045085253529,81.3333333333333,32.2831256861985,29.5101605067354,-7.54793475562606,-0.396811399559424,0.00501165769246435,0.289891684475082,0.071442008093126,43.128561084281,10.0128476944872,151,107.871438915719,66,34.4832265409125,33.1635768841229,-23.1320597598751,-1.94492293239787,0.0175936932300447,0.371354242656327,0.192649225761865,16.7803531308137,3.77811105665295,137.333333333333,120.55298020252,104.666666666667
"CDC_Gold_AGL",160.06636780333,148.873484660195,-9.8602163359911,-3.36318441422009,0.0371972850196698,1.49365787006009,0.0961536564298565,32.230833931247,7.54398685525176,142.333333333333,110.102499402086,78.6666666666667,33.8489260537426,31.234102088127,-8.5774960672273,-0.53074865063859,0.00614952758414924,0.318330156524793,0.0778516328908369,38.7367688519943,9.08898476158119,150.666666666667,111.929897814672,73.6666666666667,43.0008775810862,41.2838647061498,-27.0150245737719,-2.87026437504416,0.0254861807669602,0.468084054238479,0.223842382573082,13.598618009321,3.1003674117364,135.333333333333,121.734715324012,109
"CDC_Greenstar_AGL",170.616309954282,161.589997241963,-10.6797766297065,-3.8054737263357,0.0419198699589468,1.61674962845195,0.104255873463723,28.8206372723763,6.64883715166908,139,110.179362727624,82.3333333333333,34.4185745188594,31.7671131660215,-8.17254681623018,-0.513966621735269,0.0060144627706628,0.325296085223433,0.0741078858016497,40.67729631375,9.39897065712669,153,112.32270368625,73,47.2882693778779,45.5987815198894,-26.7366183922654,-3.16960865510147,0.0281096718118945,0.517827016318828,0.221381645406099,14.087643788259,3.14048699206996,136,121.912356211741,108.666666666667
"CDC_Imax_AGL",167.05172992794,156.510679207478,-10.8010050688069,-3.66871472841026,0.0409405774427444,1.53814474472104,0.106715808121705,28.0631747189867,6.52903558360207,136.333333333333,108.270158614347,81.3333333333333,34.1075581226746,31.4393711164745,-7.42496723561973,-0.450741218411754,0.00544005925863518,0.322077216637089,0.0675262128889948,44.3901029278663,10.2843344395331,156.666666666667,112.2765637388,69,44.5877145542437,42.649894765073,-27.6854344644236,-3.05764457070961,0.0270449041965746,0.484802793839022,0.228965983717709,13.35469472886,3.03014016357193,135.333333333333,121.978638604473,109.666666666667
"CDC_Impower_AGL",191.221295696828,177.531165181348,-9.44456666922834,-3.64104328651259,0.041634970275072,1.74783994500237,0.0951208020960127,31.8763764736077,7.3626765495348,140.333333333333,108.456956859726,77.6666666666667,37.0197807851931,34.0719258470049,-7.47138700175846,-0.482467707843871,0.00588724361559538,0.344966266057501,0.0686963433408873,43.733258888746,10.1505751265216,155,111.266741111254,69,54.3844117134328,51.6767735054675,-26.3930566907929,-3.53070844161342,0.0313930201968954,0.586062705028372,0.219050533182548,14.153232495804,3.16928680525528,136,121.846767504196,109
"CDC_KR.1_AGL",145.406994699234,135.912044441777,-10.2381445114874,-3.19052025825064,0.0349873035583665,1.39046586526831,0.0979745071224028,33.3449473366797,7.64887747749753,146.333333333333,112.988385996654,81,31.8710884518424,29.2061267709396,-8.12406299001691,-0.479120140093143,0.00553868513929002,0.304045629000989,0.0725907664549857,41.326895986956,9.57428585021491,155.333333333333,114.006437346377,74,37.1295256768151,35.8636335096141,-27.230955129243,-2.54013949364607,0.0223916500780549,0.410464879928489,0.222717169594531,13.776731049323,3.11273707748924,137,123.223268950677,110.666666666667
"CDC_LeMay_AGL",156.74459962283,147.627556047064,-12.6501852067532,-4.36305197080813,0.04473851146017,1.54925593077988,0.116800001915194,25.86273571372,5.97309857324741,140.666666666667,114.803930952947,90,32.2910972221941,29.5845047640635,-7.33609772603554,-0.405801845519945,0.00494091980498567,0.304094678766458,0.0661055082041174,45.2356824176377,10.5802763238702,158.333333333333,113.097650915696,68.6666666666667,41.2305029462281,39.8657802514533,-28.7486284954533,-3.01376942540526,0.0262925947226515,0.460183602920161,0.234639159550231,12.8368471597253,2.95451797292586,136.333333333333,123.496486173608,111.333333333333
