"Name","It17_gc.a.auc.e","It17_gc.a.auc.l","It17_gc.a.b","It17_gc.a.g.b","It17_gc.a.g.r","It17_gc.a.k","It17_gc.a.r","It17_gc.a.x.d","It17_gc.a.x.gen","It17_gc.a.x.max","It17_gc.a.x.mid","It17_gc.a.x.min","It17_gc.h.auc.e","It17_gc.h.auc.l","It17_gc.h.b","It17_gc.h.g.b","It17_gc.h.g.r","It17_gc.h.k","It17_gc.h.r","It17_gc.h.x.d","It17_gc.h.x.gen","It17_gc.h.x.max","It17_gc.h.x.mid","It17_gc.h.x.min","It17_gc.v.auc.e","It17_gc.v.auc.l","It17_gc.v.b","It17_gc.v.g.b","It17_gc.v.g.r","It17_gc.v.k","It17_gc.v.r","It17_gc.v.x.d","It17_gc.v.x.gen","It17_gc.v.x.max","It17_gc.v.x.mid","It17_gc.v.x.min"
"X3156.11_AGL",191.28259127231,191.166999150656,-9.23741761811825,-4.46740635265922,0.0453389264008564,2.20421512983229,0.0843903487511547,36.3398539297487,8.4068420690595,159.333333333333,122.993479403585,88,28.1472367877265,27.8764443787599,-7.82996297921205,-0.428599183171451,0.00506972564843999,0.28742905632903,0.0706543692591095,42.668297511411,9.90237035607063,155.666666666667,112.998369155256,71.3333333333333,49.6027054569185,49.9547618551054,-18.7655595441642,-2.56370607479273,0.0224523582636375,0.610178449935748,0.149235962627822,20.8285773393833,4.74509519836748,149,128.171422660617,108.666666666667
"CDC_Asterix_AGL",167.682999261144,167.796925321963,-11.6371821629032,-5.30221389568478,0.0499248636102481,2.00414285665685,0.100094127146048,30.0583311051623,6.92497720789382,156.333333333333,126.275002228171,97.3333333333333,25.8288303852082,25.5387086773284,-6.408513195477,-0.330905668891818,0.00388411193410439,0.292950808887734,0.0533496564715414,56.03346841805,13.0810890188728,179,122.96653158195,67.6666666666667,43.1351905815865,44.1936607662483,-22.2189779188285,-2.87832407992488,0.0237468086103199,0.576814313810443,0.168774862070446,18.288671730033,4.15713255717047,151.666666666667,133.377994936634,116.333333333333
"CDC_Cherie_AGL",163.847941224997,162.323762336024,-10.8817429856459,-4.30476480402985,0.0435549597071355,1.82291046151539,0.0996772186705483,30.9647740678843,7.14291944605997,150.333333333333,119.368559265449,89.6666666666667,27.2082267352939,27.1276779096094,-9.14438412097937,-0.508204599185668,0.0057224553095397,0.27954820225693,0.0820163940036565,38.0604298932433,8.8637993127011,151,112.939570106757,76,39.0496628005134,38.8415034035063,-29.0529962080571,-2.98470298857849,0.025960993571075,0.451265617165701,0.236921715511038,13.4899626378617,2.97585827346477,137.333333333333,123.843370695472,111.666666666667
"CDC_Glamis_AGL",152.633985236275,152.114602364226,-8.82610918964088,-3.05849866342353,0.0329458494562309,1.66217880538771,0.082729352513675,37.117575357419,8.59040181046591,154.333333333333,117.215757975914,81,27.1455073470374,27.1748460731521,-8.17416660833843,-0.408719370759542,0.00501264052709489,0.266692746967569,0.0770449850949487,39.811052968771,9.19943277684468,147.666666666667,107.855613697896,69,35.1185346827276,34.7116314400784,-25.7605512665146,-2.20897681627505,0.0196355378848185,0.400264973569329,0.211559086929893,17.4314638194463,3.97860053933821,140.666666666667,123.23520284722,106.666666666667
"CDC_Gold_AGL",153.249271055764,151.928616270864,-9.60006420157041,-3.36472210726384,0.0369843586335048,1.5465907668436,0.0931336653933173,33.157523638656,7.67284377378541,144.333333333333,111.175809694677,79,28.5068987560272,28.5276293087871,-9.25387753558485,-0.528391970345755,0.006030248176338,0.288918985719478,0.0841727692425043,36.3202140165363,8.41075100130495,147.666666666667,111.34645265013,76.3333333333333,39.0287565477893,38.5738145307088,-30.2087446381286,-3.03798697981036,0.026794437842112,0.435951698262401,0.250381035066179,12.1429940400703,2.77201195492022,133.666666666667,121.523672626596,110.666666666667
"CDC_Greenstar_AGL",190.569725974345,190.21054000516,-8.75386945453735,-3.98345764712956,0.0427487944855624,2.07334580537405,0.0834645572336811,36.5727318887403,8.50320379635501,154.666666666667,118.093934777926,82.6666666666667,28.8977531136076,28.9667326406142,-8.69146697947244,-0.501722517993207,0.00580762361401354,0.294327987233174,0.0791108205288367,37.7561082715273,8.79452637795563,149.333333333333,111.577225061806,74.3333333333333,47.9403009031012,47.5656986971019,-25.5154788910025,-3.1748464733551,0.0279836437605401,0.549901704275519,0.209039635049368,15.4113460294607,3.52080790621156,139,123.588653970539,109.333333333333
"CDC_Imax_AGL",182.629405809021,182.943934118042,-8.28228350151234,-3.46895376092511,0.0383239818458204,1.94004254560565,0.0798753185598639,38.2876978228033,8.87916462736568,154,115.712302177197,78.3333333333333,27.772942567716,28.1259758875754,-7.71697048943099,-0.416492981167842,0.0050330342053881,0.283843949037528,0.0709804428311186,42.318082111796,9.77314131293295,153,110.681917888204,69.6666666666667,41.7675198225206,41.0944836320434,-27.593846629155,-2.94364521406016,0.0260294804210347,0.467303226719711,0.228162821473205,13.3718077972927,3.03857168169963,135.333333333333,121.961525536041,109.666666666667
"CDC_Impower_AGL",179.358287969173,178.364904045828,-9.48971153191962,-3.71267234030163,0.0421454461785793,1.77011156150556,0.0952243374950151,31.9198216854843,7.34759276853235,141,109.080178314516,78.3333333333333,32.2648377363384,32.0829758786174,-8.02289319113187,-0.500331420135193,0.00594161884497648,0.32617081704411,0.0732990059943779,40.9952106015323,9.50555472605195,152.666666666667,111.671456065134,71.6666666666667,51.7183564483326,50.3240337504338,-29.9977430130536,-3.91119940801971,0.0344799387196683,0.570059627066646,0.248793357738011,12.259153519216,2.79015844105886,134,121.740846480784,110.333333333333
"CDC_KR.1_AGL",140.95850219206,139.473385826339,-9.74039918009015,-3.13451041068417,0.0342083483647145,1.4465175396652,0.0923921127847246,34.090838758925,7.88313539917104,148.333333333333,114.242494574408,81.3333333333333,27.8333864162862,27.4234466220542,-8.82652543284395,-0.501260692780292,0.00562717848528821,0.287511269483262,0.0781787054390685,38.2665467562317,8.88293971190404,153,114.733453243768,77.6666666666667,35.7527020559745,35.1179285401821,-27.1647250825297,-2.4917622410361,0.0218900664615267,0.403829920259376,0.221300632241261,13.699203084704,3.1330570123596,137.333333333333,123.634130248629,110.666666666667
"CDC_LeMay_AGL",181.895627275265,180.684683108168,-10.5748126212469,-4.84355581602697,0.0481862780112242,2.06814169035266,0.0960248334303309,31.4641018374083,7.33238227191881,153,121.535898162592,91.3333333333333,27.0699761441847,27.0651852481083,-7.91326609484628,-0.407057256162571,0.00483772233063532,0.277708544699562,0.0710568358850564,42.656099522958,9.87395814025725,155.666666666667,113.010567143709,71.6666666666667,43.5603235831326,43.4520160512159,-28.0514616439981,-3.27494777151167,0.028195893029023,0.513557767973186,0.225718151858771,13.786337784066,3.0923007311517,139.333333333333,125.546995549267,113
"CDC_Maxim_AGL",172.265799074782,170.222839117235,-11.0524385290562,-4.55395296766606,0.0464408589280779,1.88277388399667,0.10207146412418,30.690136538918,7.08355174085033,149.333333333333,118.643196794415,89,31.1959654296934,30.7453977329174,-8.3521814483119,-0.532453942044854,0.00597470658345058,0.329265328720739,0.0729616156604408,40.6353084539263,9.50630924373159,157.333333333333,116.698024879407,76.6666666666667,50.6194185441788,50.6236373290612,-25.9544476377004,-3.51186692930758,0.0302138691029636,0.611720489133793,0.208939156808748,15.171982132726,3.47237064711901,141.666666666667,126.494684533941,112.333333333333
"CDC_QG.1_AGL",182.105004637245,180.957966171503,-9.38210442680358,-4.37842411434821,0.0440243725626045,2.11176858082701,0.0848184377464713,35.9913845343307,8.37066902250708,160,124.008615465669,88.6666666666667,26.7892569514612,26.6479089222109,-7.47871567689604,-0.385860226015767,0.00463113760788139,0.274751025095569,0.067355420663221,44.2120861664077,10.3032306768399,157.333333333333,113.121247166926,70,44.5459329708381,44.6586601840476,-23.5357732219321,-2.90910400597258,0.0251113635377866,0.545147774400651,0.187802351448411,17.7463597323867,4.06595844123602,146,128.253640267613,111.333333333333
