"Name","Su18_Plot.Area.d061","Su18_Plot.Area.d065","Su18_Plot.Area.d068","Su18_Plot.Area.d072","Su18_Plot.Area.d076","Su18_Plot.Area.d079","Su18_Plot.Area.d086","Su18_Plot.Height.d061","Su18_Plot.Height.d065","Su18_Plot.Height.d068","Su18_Plot.Height.d072","Su18_Plot.Height.d076","Su18_Plot.Height.d079","Su18_Plot.Height.d086","Su18_Plot.Volume.d061","Su18_Plot.Volume.d065","Su18_Plot.Volume.d068","Su18_Plot.Volume.d072","Su18_Plot.Volume.d076","Su18_Plot.Volume.d079","Su18_Plot.Volume.d086"
"CDC_Vantage_AGL",0.630369223746502,0.734104202586585,0.724040710286489,0.785966295436515,0.756705799144356,0.703556018666681,0.777829530171652,0.165013574063778,0.210339516401291,0.202287683884303,0.214827085534732,0.230112433433533,0.207657088836034,0.182901019851367,0.102934228530737,0.15444646405826,0.146767836010217,0.169417920549632,0.173982352287687,0.146365081058323,0.142465518189245
"CN_105604_AGL",0.439695672310378,0.578656881003006,0.587647929988937,0.661903844594629,0.650453956150076,0.67337151302918,0.667703074923585,0.0670755455891291,0.10082367559274,0.0957015777627627,0.0896164700388908,0.0996829296151797,0.0822054967284203,0.0811216582854589,0.0310165610692438,0.058847063558583,0.0567815221272363,0.0598238553535086,0.0656225171278872,0.0563138584584973,0.0542308427350434
"CN_105605_AGL",0.496347390209019,0.624183841510193,0.648333883386869,0.748052304826207,0.698283322947252,0.721147159469835,0.772130254583834,0.109727308154106,0.142557770013809,0.1340591609478,0.135275766253471,0.144690528512001,0.12856696297725,0.114943020045757,0.0545249293598813,0.0890748086250748,0.0868251340598619,0.101429220794824,0.101114349032813,0.0928143717989347,0.0888696163387086
"CN_105715_AGL",0.357424927640922,0.46479730564753,0.419388835660037,0.476821318393557,0.444591242858378,0.433315605696385,0.471667965847073,0.125649909178416,0.142257700363795,0.141525114576022,0.13289338350296,0.148177579045296,0.126897176106771,0.114954777061939,0.0449255841818485,0.0660500405413531,0.059324183652357,0.0634363523325464,0.0655743123120094,0.0549245338747924,0.0541421041433991
"CN_105732_AGL",0.611172139283535,0.74110232693852,0.739734671093961,0.870869612844148,0.806084303116123,0.774462241311412,0.831653108752335,0.147654250264168,0.172407115499179,0.170017396410306,0.181251431504885,0.195194746057192,0.182833130160967,0.15423591931661,0.0909968315541472,0.128196603929832,0.126541149209481,0.157769493868547,0.157513705381544,0.14147699102123,0.127572403379788
"CN_105767_AGL",0.28529195969583,0.318269509068929,0.31802723231204,0.364870412089936,0.336945387515528,0.357595815594593,0.378975910029767,0.103365734219551,0.114634973307451,0.106206372380257,0.0971479366223017,0.114639423787594,0.0959712093075116,0.0839942619204521,0.0313824755867825,0.0375972566443418,0.0346234382017182,0.0360294486931003,0.0393526690110301,0.0350605441078748,0.0321688482066575
"CN_105777_AGL",0.353021742792944,0.511822602782214,0.475888268015716,0.548897349084577,0.515048167087905,0.556110231540632,0.639946513198181,0.157752312719822,0.129401768247286,0.12660076469183,0.127202776571115,0.141227275133133,0.122179441154003,0.0986381421486537,0.0565875625743178,0.0663855904410307,0.0606184611652091,0.070387853140018,0.0733602547459525,0.0683378480085736,0.0632475049774771
"CN_105789_AGL",0.345730935671223,0.414146511544226,0.393884499392376,0.429923100697541,0.386057345352245,0.375747864827278,0.384336608688072,0.0915474543968837,0.0779270082712173,0.0721701929966609,0.0686103378732999,0.0749545569221179,0.0679482221603394,0.0653304842611154,0.0333893477827559,0.0324839745337076,0.0285544422493558,0.0296140598796329,0.0289050178248903,0.0254187395014879,0.0251978873459153
"CN_105791_AGL",0.419234784030703,0.588674133684765,0.552774358655019,0.678958846898622,0.653895436503364,0.690585118237615,0.757496043411845,0.103995684534311,0.107468418776989,0.105091065168381,0.104214496910572,0.120173101623853,0.109054647386074,0.102329281469186,0.0410975679968229,0.0630502382531464,0.0577002889726009,0.0705963742053756,0.0783667605813516,0.075086879541313,0.0772038360921322
"CN_105862_AGL",0.473747442847222,0.60085898099662,0.597373042141473,0.644034921389376,0.617948601890426,0.615533947307558,0.680944365295987,0.156639988223712,0.158177410562833,0.153015782435735,0.151532719532649,0.166255782047908,0.143871282537778,0.125507878760497,0.0732223377584103,0.0952245866119912,0.0914531436570246,0.097697365185588,0.102729587697014,0.0885952925258219,0.0855646871977579
"CN_105863_AGL",0.52879075514668,0.616254172847493,0.626023247572491,0.671172511389401,0.618781662514829,0.616047729768717,0.637927484018303,0.1151224548618,0.14211194217205,0.132837250828743,0.129795054594676,0.143345718582471,0.117417809863885,0.107439550260703,0.0608597490529928,0.0876711815246775,0.0832070965506027,0.0871058840266142,0.0887109659737233,0.0722419077976873,0.0685058140725095
"CN_105864_AGL",0.570133501103473,0.688389272375017,0.694733243764808,0.783803334430691,0.729111153434787,0.713415541227065,0.754412138389519,0.119543189803759,0.141055872042974,0.138005976875623,0.142213049034278,0.152915090322495,0.128358279665311,0.114162070055803,0.0700988788367926,0.100015477543384,0.0985922191500332,0.114460477246352,0.113600401399189,0.0935801512807326,0.0875970468104742
"CN_105865_AGL",0.40790129034493,0.549292885266544,0.54050610739275,0.633837229573713,0.628382229480911,0.617428168291882,0.663540235868602,0.095167625695467,0.129116686681906,0.126448365549246,0.127820844451586,0.147991254925728,0.124674340089162,0.112099520862103,0.0395108432169561,0.0710845038981019,0.068245115499515,0.0810301508206719,0.0928461713427805,0.0766499407221377,0.0744335636953734
"CN_105866_AGL",0.622787881977649,0.708775670239061,0.721214946167182,0.794159667119187,0.812185940969953,0.776603882972373,0.842078928049079,0.141917298237483,0.157056719064713,0.15024292220672,0.150558826824029,0.158138473828634,0.144458599388599,0.125357245405515,0.0900737824880244,0.113386363101642,0.110422378075229,0.122186442232059,0.129620906491564,0.114177295173511,0.106832353456948
"CN_105895_AGL",0.392582557128238,0.475548226762709,0.45485347396181,0.473451570643646,0.464132382471438,0.460056385017544,0.489239619012664,0.105575035015742,0.110270661612352,0.10467512657245,0.0979036738475164,0.107445808748404,0.0948723504940669,0.0869533196091652,0.0418835250892013,0.0532259342008324,0.0484478346991688,0.0471986173400383,0.0508609820832772,0.0445923971866649,0.0432419642956233
