"Name","Su17_gc.a.auc.e","Su17_gc.a.auc.l","Su17_gc.a.b","Su17_gc.a.g.b","Su17_gc.a.g.r","Su17_gc.a.k","Su17_gc.a.r","Su17_gc.a.x.d","Su17_gc.a.x.gen","Su17_gc.a.x.max","Su17_gc.a.x.mid","Su17_gc.a.x.min","Su17_gc.h.auc.e","Su17_gc.h.auc.l","Su17_gc.h.b","Su17_gc.h.g.b","Su17_gc.h.g.r","Su17_gc.h.k","Su17_gc.h.r","Su17_gc.h.x.d","Su17_gc.h.x.gen","Su17_gc.h.x.max","Su17_gc.h.x.mid","Su17_gc.h.x.min","Su17_gc.v.auc.e","Su17_gc.v.auc.l","Su17_gc.v.b","Su17_gc.v.g.b","Su17_gc.v.g.r","Su17_gc.v.k","Su17_gc.v.r","Su17_gc.v.x.d","Su17_gc.v.x.gen","Su17_gc.v.x.max","Su17_gc.v.x.mid","Su17_gc.v.x.min"
"X3156.11_AGL",87.787429364093,83.3474359969457,-7.5085028290408,-2.63904581194678,0.0625475343938649,1.68907275543838,0.149862773397572,20.3028250088602,4.64287823037748,76,55.6971749911398,36.3333333333333,18.3751875035465,18.1121029354067,-5.2033363556718,-0.289487064505043,0.0088071509541536,0.345107174879182,0.102467372066975,29.4752519442204,6.79719049911883,82,52.5247480557796,24,26.0398420921712,25.345458387049,-12.4348215477718,-1.52944054225886,0.0296455290080307,0.583709136536742,0.207313524393154,14.7975925372243,3.36284811559631,76.3333333333333,61.5357407961091,47.6666666666667
"CDC_Asterix_AGL",88.621944744102,84.3947333713202,-7.81143256510265,-2.56371217178329,0.0628780004155771,1.63701319403249,0.159515537289105,19.6183931312233,4.48811498185,73.3333333333333,53.7149402021101,35,16.6993017449975,16.0505256339166,-5.64594141205918,-0.302917684943757,0.00840786203223307,0.321991474467694,0.104962782770118,28.6773139112678,6.60374816770654,84,55.3226860887322,28,22.2348178239047,21.678612344096,-12.4542626612274,-1.25535492077388,0.0245822285840269,0.492467618568695,0.20645483337036,14.5956484433227,3.37115347667668,76,61.4043515566773,47.5
"CDC_Cherie_AGL",76.1975155509133,72.2882001833752,-7.3471228592402,-2.07999724372533,0.0517346104843532,1.4034779746645,0.149424989997681,20.7549984237836,4.69567365086356,74.3333333333333,53.5783349095497,34,18.6523787200948,17.9984154762193,-5.20543415956237,-0.288811449188653,0.00874856423714205,0.344385642052316,0.102093384468746,29.6111422836409,6.80005457831845,82.3333333333333,52.7221910496925,24.3333333333333,22.0052352404615,21.3733026212544,-11.6805625002492,-1.16258239935959,0.0232151790185323,0.478948595805947,0.197427541706285,15.6429879592773,3.51151380777678,76,60.3570120407227,46
"CDC_Glamis_AGL",88.4932158008647,83.9139020193312,-7.14944794158721,-2.30032547429606,0.0571003431768124,1.66188143430713,0.144518486717048,21.8402405036807,4.98867156502696,76.6666666666667,54.826426162986,34,17.1690089683732,16.884476469429,-4.96876444744962,-0.234588726494118,0.00784869907863611,0.303928424260847,0.104209935671696,29.0095278618275,6.74317543609663,78.3333333333333,49.3238054715058,21,23.1013066416495,22.305993983538,-11.7209774005933,-1.1492654921372,0.0235008918202748,0.486692992097937,0.200794731783143,15.5354980492878,3.4805726608146,75,59.4645019507122,45
"CDC_Gold_AGL",72.020512378588,68.6037643639597,-7.47391814312173,-2.11640309289562,0.0505378352466887,1.39092723023946,0.146775743433495,20.2985442028556,4.72721649320862,76,55.7014557971444,36.3333333333333,17.9772032317022,17.6624101587394,-4.95035382106298,-0.251867518458571,0.00818413444144605,0.32518782100551,0.10101174382912,29.6900158645615,6.87669059566904,80.3333333333333,50.6433174687719,21.6666666666667,19.7541146588379,19.1966601688796,-12.5060861814736,-1.11983764175825,0.0222108538492462,0.427182131511101,0.211800724952707,14.5793773465138,3.27552775081941,74.6666666666667,60.0872893201529,46.6666666666667
"CDC_Greenstar_AGL",75.5519844454171,71.6625571244623,-7.37890252279173,-2.16275517122293,0.0523354997634323,1.43499459939639,0.146444111594814,20.6760303084376,4.7394494404834,76,55.3239696915624,35.6666666666667,16.9653928745786,16.740832034732,-4.88170726999023,-0.237376073506176,0.00763143390718619,0.314163286598582,0.0974606362018852,30.9491677110076,7.12635822284522,82.6666666666667,51.7174989556591,22,19.7601680968806,19.1684840758728,-12.4695864335075,-1.10998283236858,0.0220444117714768,0.426270716447723,0.210431217555757,14.7131519465132,3.29594424235432,75,60.2868480534868,47
"CDC_Imax_AGL",68.9981728159009,65.7698396141002,-6.96501224951632,-1.71017580645071,0.0436382350328322,1.28433734729043,0.14035471488914,21.6139664062991,5.02903575764339,75.6666666666667,54.0527002603676,33,17.2057560683787,16.9589052063086,-4.7738820733024,-0.225007793297839,0.00757423786955784,0.309678961816491,0.0980430755651171,30.3275849659273,7.07785442418964,80.6666666666667,50.3390817007394,20.6666666666667,17.9186759293953,17.4202548105779,-11.108839896447,-0.837445585164051,0.0173839050017104,0.378314820452086,0.190105124083049,16.3655410331192,3.67027412554684,75.6666666666667,59.3011256335475,44.3333333333333
"CDC_Impower_AGL",80.790982581731,77.0263604884792,-8.12742634975748,-2.53104401663222,0.0596627965601617,1.54482321334198,0.160037310943145,19.6472712373428,4.44544631684376,75,55.3527287626572,37,18.8826957268019,18.262364253683,-5.10339594933203,-0.283537184157492,0.00873464365675575,0.347029842187999,0.100731632466164,29.8943386645205,6.90521226750978,82.3333333333333,52.4389946688128,23.3333333333333,24.082482429793,23.3906403450528,-12.4678580056028,-1.36560825752479,0.0268630807118232,0.526830095758742,0.20904809155997,14.4784794914792,3.32199159820584,75.3333333333333,60.8548538418542,47.3333333333333
"CDC_KR.1_AGL",53.9309770631273,50.531917905319,-7.98774610114613,-1.70257625424826,0.0392924612074948,1.03648331360505,0.150781786275164,21.2204012557479,4.78537952813626,77.3333333333333,56.1129320775854,36.3333333333333,15.8797176525493,15.5736825411443,-4.69646601802692,-0.204506909032704,0.00682572454545773,0.287221715729821,0.0951300010144749,32.0740476433654,7.34523505136242,82.6666666666667,50.5926190233013,19.6666666666667,13.2069940859068,12.6488874840586,-12.7649094908925,-0.782521640442566,0.0151723682935148,0.287313114354251,0.212411218249172,14.6580302733388,3.31767313170866,75.3333333333333,60.6753030599945,47.3333333333333
"CDC_LeMay_AGL",78.3909064152055,74.5321668865424,-8.11691564255764,-2.39077239978123,0.0571566270610846,1.47931184117164,0.160889751809865,19.1291426232746,4.39136942079799,74,54.8708573767254,36.6666666666667,16.3361552690466,15.8248641418931,-5.19337003720946,-0.247184904586382,0.00764782738096169,0.297337652910739,0.10318260395393,28.8817372313839,6.72581679323602,80.6666666666667,51.7849294352827,23.6666666666667,19.7597840590442,19.2163077675802,-12.7052051707155,-1.12955728357944,0.0224261554991844,0.425714298994262,0.214919687754032,13.8891489804633,3.22519407116777,74,60.1108510195367,47
