"Name","Ro17_gc.a.auc.e","Ro17_gc.a.auc.l","Ro17_gc.a.b","Ro17_gc.a.g.b","Ro17_gc.a.g.r","Ro17_gc.a.k","Ro17_gc.a.r","Ro17_gc.a.x.d","Ro17_gc.a.x.gen","Ro17_gc.a.x.max","Ro17_gc.a.x.mid","Ro17_gc.a.x.min","Ro17_gc.h.auc.e","Ro17_gc.h.auc.l","Ro17_gc.h.b","Ro17_gc.h.g.b","Ro17_gc.h.g.r","Ro17_gc.h.k","Ro17_gc.h.r","Ro17_gc.h.x.d","Ro17_gc.h.x.gen","Ro17_gc.h.x.max","Ro17_gc.h.x.mid","Ro17_gc.h.x.min","Ro17_gc.v.auc.e","Ro17_gc.v.auc.l","Ro17_gc.v.b","Ro17_gc.v.g.b","Ro17_gc.v.g.r","Ro17_gc.v.k","Ro17_gc.v.r","Ro17_gc.v.x.d","Ro17_gc.v.x.gen","Ro17_gc.v.x.max","Ro17_gc.v.x.mid","Ro17_gc.v.x.min"
"X3156.11_AGL",101.985668605786,98.1397416388805,-5.94577456477995,-1.89074016125201,0.0548171478890214,1.61477437777322,0.137066123618964,22.0691211662585,5.06995692430559,71.3333333333333,49.2642121670748,28,21.8320939475298,21.7099638940548,-4.05371132935538,-0.181617962142138,0.00784787740819527,0.330888197775373,0.0954269685506828,31.7609632924904,7.29711696056933,76,44.2390367075096,14,29.7683063389525,29.0550596847649,-7.82260262272464,-0.802178512229713,0.0193240937053983,0.530806535099127,0.146339025318395,20.7156694573172,4.75387800116878,76,55.2843305426828,35.6666666666667
"CDC_Asterix_AGL",125.067184266834,119.962814076122,-6.71778419727685,-2.69156468287236,0.0766889271588748,1.93027144410532,0.161283750546174,19.1918146195616,4.35516405165887,67,47.8081853804384,30,21.2643964071075,21.1425548847995,-4.67703941952602,-0.235116545502179,0.00862241395701687,0.334777504208508,0.103815724575679,29.2315228857274,6.71257147168805,76,46.7684771142726,18.6666666666667,36.0430497053648,34.8680120757613,-9.99963417697655,-1.29570621872997,0.0292086693317342,0.635458098595156,0.186735008622891,16.1952597753234,3.72836420642881,71.3333333333333,55.1380735580099,40
"CDC_Cherie_AGL",106.174239428115,101.707236308632,-6.81968187317026,-2.1813627772491,0.0651342837348269,1.57756430542185,0.166854044993226,18.1435771471021,4.19132401101675,63.6666666666667,45.5230895195646,28.3333333333333,22.5624880443017,22.5199354940884,-4.11171697004906,-0.191398164657843,0.0083293298660925,0.338160673329616,0.0991034478235341,30.1469548042041,7.01884196077382,73.3333333333333,43.1863785291293,13.6666666666667,31.8091145788963,31.2094975634993,-7.4619239647508,-0.777811865800092,0.019938861377316,0.543184350357982,0.147313818400308,20.2548847087465,4.72349998539095,72.6666666666667,52.4117819579202,32.6666666666667
"CDC_Glamis_AGL",101.77194019657,97.9353301387467,-8.90873391109794,-2.83515641623661,0.0784799360483563,1.5286737717479,0.211097135352062,14.4304302883775,3.33529218777353,60.3333333333333,45.9029030449558,32,18.4096146359791,18.4670298492691,-3.90291594999594,-0.132273248888097,0.00673477959703723,0.26070389674672,0.103685367624828,28.7653632488014,6.6961897346044,67.6666666666667,38.9013034178653,10.6666666666667,24.2447216244119,23.7091840937862,-8.38701675797016,-0.636461792473955,0.0166053011736857,0.397025943520879,0.170746061859346,17.717602560215,4.09146282509414,68,50.282397439785,33.3333333333333
"CDC_Gold_AGL",38.3590485923325,37.4195815127018,-6.67929584975323,-0.810869605723115,0.0224799529787446,0.627421041724173,0.139081359049892,22.9970892150967,5.27081237237571,73.6666666666667,50.6695774515699,28.6666666666667,16.6722940009087,16.593519711107,-3.56152656385904,-0.10998924809391,0.00525287278629291,0.257812765919685,0.0811864051732481,37.7060336549114,8.73123082306335,83,45.2939663450886,13.5,9.18697582668064,9.06285806215433,-6.62696874390019,-0.214804875151378,0.00513231518617323,0.178327421174636,0.11320761573738,26.3781628293516,6.16637538919072,85.6666666666667,59.2885038373151,33.6666666666667
"CDC_Greenstar_AGL",100.047965235302,96.0870497449882,-7.90410614646773,-2.4599057187751,0.0694265797338055,1.50985147198683,0.187113095914349,16.3335004080305,3.7229077150638,62.6666666666667,46.3331662586362,31,20.4825581068297,20.3445717889979,-4.28536640946554,-0.179105061439314,0.00795304157084853,0.2969593915406,0.107704616299314,28.3207785838785,6.55693189742204,69.6666666666667,41.3458880827881,14,26.6343834831705,26.1240024160676,-8.32718229383192,-0.713144718887099,0.0183610877313793,0.44387970235063,0.168204911860898,18.2854505065928,4.16253954575096,69.3333333333333,51.0478828267405,33.6666666666667
"CDC_Imax_AGL",86.5736024592506,84.1969647841586,-5.88047120032731,-1.47961086006311,0.0449784517647941,1.35280346284639,0.136146445253179,22.3679959953261,5.14952503143218,70.3333333333333,47.9653373380072,26.6666666666667,17.7699652222047,17.7118727874348,-4.28768409403647,-0.148197159927614,0.00708934421829607,0.247741764257221,0.114885576129281,26.2491415467611,6.0710412090568,64.6666666666667,38.4175251199055,12.6666666666667,19.9140317124274,19.7860833537554,-6.74875982019129,-0.398379540228681,0.0111620742431732,0.332455181455977,0.135904839630658,22.2045689015691,5.14490026694144,73,50.7954310984309,29.6666666666667
"CDC_Impower_AGL",110.270255159121,105.820201372825,-6.74757980803497,-2.24372193057,0.0667487023202312,1.65492879388858,0.164714741581966,18.6271869852453,4.23132126152258,64.6666666666667,46.0394796814214,28.6666666666667,23.0784163766106,22.8625066240125,-4.98964472071726,-0.263258914751141,0.01024731286568,0.337176715331898,0.122372084596499,24.5128403457995,5.69533295827435,66.6666666666667,42.1538263208672,18.6666666666667,33.4653251197693,32.8672547049565,-8.46148241862907,-0.926870018642181,0.0237901962554798,0.556222872184347,0.172434565016356,18.0718992569558,4.08308115627536,69,50.9281007430442,34.3333333333333
"CDC_KR.1_AGL",115.180185473255,111.569226987156,-7.88090345310773,-2.88992952022931,0.0816418776198467,1.74758914936696,0.189900517061818,15.8358229787323,3.67139851235456,62,46.1641770212677,31.3333333333333,23.5851653415958,23.5848772725142,-4.26205343739399,-0.223050254667664,0.00891825608621428,0.366473300679271,0.0976347366290641,30.8191164657974,7.10997504136384,76.3333333333333,45.5142168675359,15.6666666666667,36.4079012326278,35.8115751927074,-7.44545945977124,-0.903582953833714,0.0228638304920197,0.632299205668096,0.145579428951325,21.0044134239658,4.80949664580687,74.3333333333333,53.3289199093675,33.3333333333333
"CDC_LeMay_AGL",97.1476989289064,93.5029962736441,-7.30143987633324,-2.2177357791721,0.0627566976406632,1.48961804017574,0.170316242702612,18.0666495653141,4.11409299043971,65.3333333333333,47.2666837680193,30,19.9848078092933,19.8913396094983,-4.1659883573575,-0.171167236944787,0.00738934736109954,0.299469263069677,0.0994042496569481,30.2286920308351,7.01764462973224,73.6666666666667,43.4379746358315,14,25.3080022334559,24.6630247216467,-9.24978212219853,-0.783585366361767,0.0189682245146759,0.430228283105278,0.180258995731309,17.1447001160414,3.87204151721525,69.6666666666667,52.5219665506252,36.3333333333333
