"Name","Su17_Plot.Area.d040","Su17_Plot.Area.d046","Su17_Plot.Area.d051","Su17_Plot.Area.d057","Su17_Plot.Area.d061","Su17_Plot.Area.d068","Su17_Plot.Area.d072","Su17_Plot.Area.d075","Su17_Plot.Area.d077","Su17_Plot.Area.d083","Su17_Plot.Height.d032","Su17_Plot.Height.d040","Su17_Plot.Height.d046","Su17_Plot.Height.d051","Su17_Plot.Height.d057","Su17_Plot.Height.d061","Su17_Plot.Height.d068","Su17_Plot.Height.d072","Su17_Plot.Height.d075","Su17_Plot.Height.d077","Su17_Plot.Height.d083","Su17_Plot.Volume.d040","Su17_Plot.Volume.d046","Su17_Plot.Volume.d051","Su17_Plot.Volume.d057","Su17_Plot.Volume.d061","Su17_Plot.Volume.d068","Su17_Plot.Volume.d072","Su17_Plot.Volume.d075","Su17_Plot.Volume.d077","Su17_Plot.Volume.d083"
"PI_299177_LSP_AGL",0.222852053440387,0.347666816921332,0.476169002206606,0.734641573146953,0.901445569035043,1.23733929905132,1.24339210274811,1.20820931154838,1.26786204539661,1.25518342494265,0.039055032034715,0.101591231922309,0.121076372762521,0.141675874590874,0.162215203046799,0.192679310838381,0.21681967874368,0.236097370584806,0.22980568309625,0.244305625557899,0.245131675153971,0.0231456039243289,0.0429017237933457,0.068294342684632,0.122125150204655,0.178715753837272,0.274970019235295,0.299211720549058,0.281356906340785,0.312428968848452,0.309304679159967
"PI_299237_LSP_AGL",0.221486721531995,0.300983647798082,0.389281838634133,0.710354089548126,0.903739445994181,1.31155425245796,1.40131360090358,1.36071594084492,1.3992920772515,1.39787343077004,0.0450335126370192,0.0850485066572825,0.102657693127791,0.127640724182129,0.167871351043383,0.194499656558037,0.220727160573006,0.244657581051191,0.243457655111949,0.24599635909001,0.245144986510277,0.0196309155296296,0.0329525184863222,0.0532660197437334,0.12728517824383,0.188147474029754,0.29374796124423,0.348255417098701,0.336861750451315,0.360748601366189,0.359468405814887
"PI_299289_AGL",0.193997598991543,0.284204855743205,0.361192841277235,0.600883746864287,0.735393134937656,1.08116807168961,1.10505493739756,1.18075206056672,1.18575411167535,1.18359403652273,0.0523263538877169,0.0870890393853188,0.0985679998993874,0.123282916843891,0.167182112733523,0.184924751520157,0.220274815956751,0.247346540292104,0.239425818125407,0.261897769669692,0.261194833517075,0.0178747505285707,0.0321116052013395,0.0520477329423374,0.113344393756567,0.154134677435513,0.257076324268337,0.289534521953065,0.301678846222951,0.335660915142538,0.335205396667392
"PI_299312_AGL",0.339995450583352,0.480895242221099,0.553543355547382,0.881124682475201,1.03141761563387,1.39430493880547,1.44383838272624,1.37939575966514,1.41777832593394,1.42939999889898,0.051680339500308,0.101309955120087,0.123268182078997,0.150591507554054,0.176536396145821,0.209307332833608,0.228989948829015,0.250419482588768,0.248787904779116,0.255915434757868,0.25512509599328,0.0353619882361467,0.0610027502464471,0.085952199640464,0.158070148294241,0.218948613460887,0.321798913982203,0.36311795630037,0.344530290608972,0.362674723080623,0.361669198952766
"PI_299345_AGL",0.282576080174774,0.434542401042047,0.593794407273957,0.844643059641824,1.05065917440534,1.45573692440409,1.41245660284831,1.34427023713657,1.41438554472417,1.44787889046617,0.0566584132611752,0.123569995164871,0.141506438453992,0.160402412215869,0.184325392047564,0.206495811541875,0.233286917209625,0.255530248085658,0.250440175334613,0.265391062746445,0.264449654370546,0.0351385764872567,0.0616914244817532,0.0951513381709602,0.156078177399586,0.217900894401221,0.340526499897121,0.361875467662843,0.336913691392909,0.366275200999688,0.36504686832853
"PI_299351_LSP_AGL",0.229795036017054,0.316034890415733,0.409479586441533,0.642113583380367,0.82207513128473,1.11872268894267,1.22294099907997,1.21573590741946,1.2463870084912,1.242405687183,0.0443370205660661,0.0928753614425659,0.11504636456569,0.137597054243088,0.159223700563113,0.185869147380193,0.168668409188588,0.192428087194761,0.191908180713654,0.195144446641207,0.194519380778074,0.0214153524174027,0.0366597793057152,0.0568997886040507,0.103448089258064,0.153869076591563,0.190439746378762,0.236956911973873,0.234980288950832,0.253889374712815,0.25314279830084
"PI_299366_LSP_AGL",0.35353325069345,0.515192919047276,0.620987662801049,0.850587342569404,0.98471472411519,1.23393125997453,1.25724728107569,1.17703340604873,1.25081654420059,1.25081654420059,0.0488982852548361,0.119146384298801,0.139871264497439,0.162335669000944,0.188623656829198,0.218667070070902,0.23127085963885,0.247637838125229,0.241438339153926,0.24688967898488,0.24688967898488,0.0427362750161619,0.0735921691215534,0.10234749457476,0.163778171593839,0.219314022658557,0.290269629208096,0.314157458435076,0.286772592279221,0.311015883850725,0.311015883850725
"PI_299375_LSP_AGL",0.325126196169295,0.465753092608996,0.535421809460422,0.788553256464083,0.941646929951222,1.31725324965589,1.32982166858542,1.23680521399451,1.3289344182867,1.32511828777218,0.0555072203278542,0.118025551239649,0.140433239440123,0.166253591577212,0.19953711827596,0.241120621562004,0.242669353882472,0.264140238364538,0.254900336265564,0.266070130666097,0.265196796655655,0.0381312603736536,0.0654012445870516,0.0893248481005181,0.157248346020255,0.227457706531704,0.320998342439772,0.353118830762067,0.31780208252813,0.355011669622264,0.354011842652279
"PI_300250_LSP_AGL",0.178755215359782,0.259466749582141,0.33593118642586,0.531346444413714,0.639662891848616,0.981070431977896,1.03196833998584,1.00082856134247,1.0248828887029,1.02955441980974,0.0431734162072341,0.0826300283273061,0.0912110184629758,0.113820786277453,0.145706730584304,0.159865503509839,0.160996069510778,0.177558233340581,0.169407988588015,0.181601121773322,0.18107668608427,0.0153529036516365,0.0262919682246598,0.0421087829683863,0.082359273685267,0.109736408317047,0.161811426009188,0.187045879684959,0.173853351834207,0.188401119668369,0.187988157924742
"PI_302398_LSP_AGL",0.302114597964787,0.39715919180917,0.447728480040544,0.718092807307972,0.784729323410678,1.03097134661675,1.05310023028483,0.980913660810378,1.05768006306111,1.05768006306111,0.0516666993498802,0.111363264421622,0.117162602643172,0.139938354492188,0.159514312942823,0.167061865329742,0.170803104837736,0.172735144694646,0.161017010609309,0.176754325926304,0.176754325926304,0.0342933769276535,0.048450065451439,0.064249785514996,0.118212290293128,0.137370706922155,0.177988708945526,0.18299988066432,0.15923669859103,0.182585224627769,0.182585224627769
