"Name","It17_Plot.Area.d094","It17_Plot.Area.d100","It17_Plot.Area.d118","It17_Plot.Area.d132","It17_Plot.Area.d164","It17_Plot.Height.d094","It17_Plot.Height.d100","It17_Plot.Height.d118","It17_Plot.Height.d132","It17_Plot.Height.d164","It17_Plot.Volume.d094","It17_Plot.Volume.d100","It17_Plot.Volume.d118","It17_Plot.Volume.d132","It17_Plot.Volume.d164"
"PI_431893_LSP_AGL",0.146855610385431,0.205213860694047,0.62630741138363,1.28528769745451,1.27243482047996,0.0848695337772369,0.0957073420286179,0.13085696597894,0.311597724755605,0.308481747508049,0.0113403437148945,0.0179670638415845,0.0833532192947716,0.401587406502288,0.397571532437265
"PI_431923_LSP_AGL",0.150248064537484,0.207019144974305,0.590863862978915,1.2122672461904,1.82744779015964,0.0732225105166435,0.0768522899597883,0.103546746075153,0.222702734172344,0.246123693287373,0.0109872292341395,0.015971252376912,0.0611139603654543,0.27003802393613,0.431435924460095
"PI_431980_LSP_AGL",0.254805640141877,0.296583650036128,0.736218298218356,1.28117943855844,1.26836764417285,0.0776854082942009,0.0950187146663666,0.125638949374358,0.253967086474101,0.25142741560936,0.0190487497717445,0.0282817471363242,0.0923307762230401,0.326236059442179,0.322973698847757
"PI_432000_LSP_AGL",0.234604656464759,0.265109506394181,0.799913575903482,1.44092423895639,1.42651499656683,0.0773519799113274,0.103457423547904,0.113182743390401,0.310968458652496,0.307858774065971,0.017098455728886,0.0276495833291568,0.090923354141813,0.448820967994573,0.444332758314628
"PI_432001_LSP_AGL",0.218239668123528,0.25674245846747,0.680361328465055,1.19301761326503,1.18108743713237,0.0659309104084969,0.0892084687948227,0.106439769268036,0.237615590294202,0.23523943439126,0.0143272281983506,0.0222372374127589,0.0748822668920978,0.28984176544968,0.286943347795184
"PI_432002_LSP_AGL",0.203551413859473,0.160795176926979,0.546651306947005,1.19069895403182,1.1787919644915,0.0953065827488899,0.11535348991553,0.102273471653461,0.272420754035314,0.269696546494961,0.0194614672021795,0.0185821030149838,0.056290209905638,0.325591380598495,0.32233546679251
"PI_432005_LSP_AGL",0.352848384292241,0.324974715096672,0.95900380748495,1.56958181501985,1.55388599686965,0.0864632477362951,0.111975903312365,0.13844392200311,0.326260427633921,0.322997823357582,0.0286203044497609,0.0373079164310275,0.133356695209326,0.513829466558003,0.508691171892423
"PI_432028_LSP_AGL",0.224275322208795,0.246955348786127,0.688163492005311,1.38479902576243,1.37095103550481,0.0888635292649269,0.10120481501023,0.123287821809451,0.269881412386894,0.267182598263025,0.0199760171872586,0.0249982753574208,0.08462236429624,0.376481263895617,0.37271645125666
"PI_432033_LSP_AGL",0.159468806679126,0.287276133817845,0.840438704827779,1.58400923279427,2.04972517034495,0.0867539594570796,0.10056001196305,0.12459750721852,0.262722959121068,0.261132826507092,0.0132688674932031,0.0288328244994363,0.104278964866489,0.419034580750691,0.526377072856946
"PI_432085_LSP_AGL",0.220344435549574,0.384707657844006,0.984442342391502,1.43896341877441,1.42457378458666,0.0798009261488914,0.0984900345404943,0.115618300934633,0.262604008118312,0.259977968037128,0.0171979353205253,0.0379175248969656,0.11374365707807,0.37790079704066,0.374121789070254
"PI_432106_LSP_AGL",0.32449826784432,0.615894486534609,1.2470861010685,1.84596338215897,1.82750374833738,0.0904553607106209,0.122443320850531,0.157787869373957,0.338096330563227,0.334715367257595,0.0293897705211835,0.0750909695985312,0.196795192658846,0.621902754677214,0.615683727130442
"PI_432124_LSP_AGL",0.217107006082971,0.16711922590503,0.552373926710249,1.09389855599171,1.0829595704318,0.0848879193266233,0.108681003252665,0.120358432332675,0.257031674186389,0.254461357444525,0.0161811130921405,0.0177986379848102,0.0667885174801963,0.281307550377614,0.278494474873838
"PI_432145_LSP_AGL",0.116388582949779,0.147227373459987,0.448284297291824,1.08535207380123,1.38429132334813,0.0659421794116497,0.0911601558327675,0.104288697242737,0.217023186385632,0.22834684073925,0.00847073835957265,0.0145678688608287,0.0484826068548724,0.253097112476348,0.316276405970564
"PI_432147_LSP_AGL",0.198196743213678,0.280587109125733,0.717755283944498,1.50155297461013,1.48653744486403,0.0835551867882411,0.099078228076299,0.127158366143703,0.253243158260981,0.250710726678371,0.0173974863707036,0.0287432180329542,0.092145438744507,0.389545666378871,0.385650209715082
"PI_432184_LSP_AGL",0.246246191712129,0.445436427127467,1.11403181271017,1.67707377186063,1.66030303414202,0.0803743402163188,0.0975251346826553,0.136536983152231,0.282880892356237,0.280052083432674,0.0191525305847171,0.0425887706681587,0.152808385172978,0.472933395724033,0.468204061766793
"PI_432188_LSP_AGL",0.204519779130207,0.276163220257312,0.833533228569206,1.39940577497117,1.38541171722146,0.0907455831766129,0.110053966442744,0.121362949411074,0.276272485653559,0.273509760797024,0.018820232187283,0.0300188858055125,0.102123928901183,0.393218479971052,0.389286295171342
"PI_432190_LSP_AGL",0.380931850878367,0.462413983676627,1.0440904525959,1.77481238874493,1.75706426485748,0.0930622642238935,0.116443023085594,0.170406654477119,0.327366342147191,0.324092678725719,0.0356323765545217,0.056084783469183,0.178144491267727,0.585015460862813,0.579165306254185
"PI_432201_LSP_AGL",0.268727216211451,0.281798730496049,0.882597101833266,1.54740040771495,1.6298758991468,0.0739668396612008,0.0948760509490967,0.133325663705667,0.317734032869339,0.316814675529798,0.0211653777975744,0.0270418335247226,0.118262432429458,0.491313576516556,0.514393973000487
"PI_432212_LSP_AGL",0.120257087756261,0.204908468933722,0.577196436551565,1.15877999480155,1.45727649999772,0.0804840748508771,0.0932784626881282,0.105512216687202,0.237089057763418,0.241608346551657,0.0101424799115766,0.0191844866742182,0.0631647704111767,0.277635019600821,0.356599617793226
"PI_432236_LSP_AGL",0.221942779318391,0.185263904113325,0.623748224764234,1.28572977147687,1.61477937190193,0.0763942574461301,0.0942626049121221,0.102131898204486,0.239977796872457,0.239469701945782,0.0171627040634765,0.0181617451691903,0.0634820521293835,0.311627316801664,0.377660624873767
"PI_432245_LSP_AGL",0.333332488119142,0.401677101322581,1.0528536548,1.66821671245976,1.65153454533516,0.0760836862027645,0.0968723421295484,0.128798474868139,0.285283128420512,0.282430297136307,0.0217363495972103,0.0373394525275747,0.135583832036335,0.474335567472932,0.469592211798203
