"Name","Su17_gc.a.at.DTF","Su17_gc.a.at.DTM","Su17_gc.a.perc.DTF","Su17_gc.a.xmax.DTF","Su17_gc.a.xmax.DTM","Su17_gc.a.xmid.DTF","Su17_gc.a.xmid.DTM","Su17_gc.h.at.DTF","Su17_gc.h.at.DTM","Su17_gc.h.perc.DTF","Su17_gc.h.xmax.DTF","Su17_gc.h.xmax.DTM","Su17_gc.h.xmid.DTF","Su17_gc.h.xmid.DTM","Su17_gc.v.at.DTF","Su17_gc.v.at.DTM","Su17_gc.v.perc.DTF","Su17_gc.v.xmax.DTF","Su17_gc.v.xmax.DTM","Su17_gc.v.xmid.DTF","Su17_gc.v.xmid.DTM"
"X3156.11_AGL",1.11839900544421,NA,64.2886502006633,17.3333333333333,NA,-4.19658196307567,NA,0.231133668079895,NA,67.4903295548996,21.6666666666667,NA,-6.85747521341176,NA,0.256927888889906,NA,45.2930102545506,15.3333333333333,NA,1.0804081382248,NA
"CDC_Asterix_AGL",0.863325922281961,1.62336486574897,51.8883076193263,18.6666666666667,-16.3333333333333,-0.782747742611432,-35.7827477426114,0.136742130147766,0.311037594242696,42.5305605618052,30,-5.5,2.75901997286475,-32.7409800271353,0.0822656374631731,0.476787534859407,16.2211384839318,22,-13.5,7.634829089303,-27.865170910697
"CDC_Cherie_AGL",0.716753218318924,1.35079951758507,49.8290959792646,21.3333333333333,-13.5,-0.0890495815105676,-34.8563973991688,0.174700721846547,0.325322599996426,51.9821678293088,27,-7.5,-0.687625893940833,-35.1879815887151,0.102280331026993,0.432162863372581,22.1996891827816,20.6666666666667,-14,6.15705868802097,-28.3599951746289
"CDC_Glamis_AGL",1.05070155899431,1.9552952526278,63.6236780620548,17.6666666666667,-14,-4.19610654086413,-38.0007962057954,0.209648927212091,0.254464502497323,72.6404556705729,19,-23,-8.86554259984903,-45.0825396229387,0.223711160108257,0.490854155505171,48.3003048417136,14,-21,0.292098385528834,-34.5911117171312
"CDC_Gold_AGL",0.599292371261353,NA,44.3436350288466,22,NA,1.52310200345257,NA,0.178109448741259,NA,56.696065331775,26,NA,-2.54582096736956,NA,0.0771439184151283,NA,19.3533831486947,18.6666666666667,NA,5.95506962797883,NA
"CDC_Greenstar_AGL",0.793065460833469,NA,55.9930476358976,18.3333333333333,NA,-1.56726096455363,NA,0.183495966570608,NA,60.470824678109,25,NA,-4.08161426617306,NA,0.127567926125188,NA,30.4281881997441,16.3333333333333,NA,3.62560306224453,NA
"CDC_Imax_AGL",0.590692909011296,1.39879692881089,46.0478830331003,22.6666666666667,-11,1.09160818350377,-35.6739228657532,0.164761476769295,0.297814689295489,55.0653835968056,27,-15,-1.8339619134462,-41.6821416848157,0.0799708740667,0.403420346495193,21.0645886396993,21,-16,6.41533225152943,-31.3838623441881
"CDC_Impower_AGL",0.844780654297807,NA,52.4122020406802,20,NA,-0.831629381270699,NA,0.201908782095961,NA,59.3654038451772,25,NA,-3.55210115439337,NA,0.155500081965263,NA,29.6430430118145,18,NA,3.98597972044176,NA
"CDC_KR.1_AGL",0.536653250629372,0.92890945778732,52.9978297552787,20.3333333333333,-9.5,-0.905387066522666,-32.0207465288489,0.173590533746645,0.254561873761192,64.0881022835281,23.3333333333333,-8,-5.89815248702893,-37.7360215194604,0.0757216875931399,0.230235151756659,29.6351151553501,15.6666666666667,-16,3.56356261869783,-27.44417532766
"CDC_LeMay_AGL",0.778749189935055,1.44229578137172,52.9921112186449,18,-15.6666666666667,-0.880040722571332,-34.546707389238,0.166709409844187,0.282601953333997,57.9126758272619,24.6666666666667,-9,-2.86255163955647,-36.5292183062231,0.107854547713431,0.401886805933121,26.0875654683768,17.6666666666667,-16,4.47173022118387,-29.1949364454828
